fold,type,rmse,mae,rmae
1,cv,28.712262089177404,16.836977053318897,0.9144883426205115
2,cv,34.836337043371856,18.47012888130622,1.0031918137777278
3,cv,16.477547670488846,10.076763567759466,0.5473121917834196
4,cv,22.817343846368313,15.146061289910213,0.8226474647067595
5,cv,25.2006903295801,16.377367485439237,0.8895249783151626
test,test,21.388638057035557,13.002893792383398,0.7062428579555072
