number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
28,40.48066714037471,2026-05-05 13:41:16.004334,2026-05-05 13:41:20.344271,0 days 00:00:04.339937,37.16890444013116,0.43380927036217976,0.0010222711451507154,6,79,1261,51,COMPLETE
29,37.392546754811264,2026-05-05 13:41:20.344271,2026-05-05 13:41:24.246745,0 days 00:00:03.902474,76.3743101717293,0.6952239466031124,0.0026368072097363486,8,94,759,67,COMPLETE
30,35.824736705447044,2026-05-05 13:41:24.246745,2026-05-05 13:41:30.027731,0 days 00:00:05.780986,105.44978773198258,0.9754037168923613,0.00478218267948317,9,85,1129,81,COMPLETE
31,35.79321710469914,2026-05-05 13:41:30.028731,2026-05-05 13:41:33.569147,0 days 00:00:03.540416,61.302407759798164,0.6136188104761435,0.0065535421073112795,7,66,1052,72,COMPLETE
32,35.8769933512178,2026-05-05 13:41:33.570148,2026-05-05 13:41:37.129683,0 days 00:00:03.559535,55.126365941427636,0.6277355266490219,0.008968329739895711,7,55,1196,91,COMPLETE
33,35.83612667084832,2026-05-05 13:41:37.129683,2026-05-05 13:41:39.078890,0 days 00:00:01.949207,70.9893573098081,0.6633189029628864,0.015386333561447486,6,69,886,80,COMPLETE
34,35.77024506564966,2026-05-05 13:41:39.078890,2026-05-05 13:41:43.043880,0 days 00:00:03.964990,47.05514373414511,0.5748623780463415,0.006090459799305636,10,44,773,61,COMPLETE
35,35.78024321235774,2026-05-05 13:41:43.059109,2026-05-05 13:41:45.745003,0 days 00:00:02.685894,57.66248359363435,0.6451719841625196,0.012403115869582563,7,100,1082,70,COMPLETE
36,37.0448168856087,2026-05-05 13:41:45.745003,2026-05-05 13:41:54.280919,0 days 00:00:08.535916,66.88450228934781,0.5535145917955606,0.001520177959057852,8,60,1426,100,COMPLETE
37,36.68848400416364,2026-05-05 13:41:54.280919,2026-05-05 13:41:57.487184,0 days 00:00:03.206265,52.752983302983196,0.6944936956110077,0.002419162093454248,5,79,1180,77,COMPLETE
38,37.208854307014676,2026-05-05 13:41:57.487184,2026-05-05 13:42:00.396646,0 days 00:00:02.909462,83.24089539954299,0.5818707753597401,0.030007400662261628,9,48,997,85,COMPLETE
39,35.70922057639131,2026-05-05 13:42:00.396646,2026-05-05 13:42:04.129588,0 days 00:00:03.732942,44.88739668110417,0.8131748905820356,0.005193882946712882,6,73,1328,57,COMPLETE
40,35.96170418061489,2026-05-05 13:42:04.131588,2026-05-05 13:42:07.374732,0 days 00:00:03.243144,42.92539711507014,0.8055569525491815,0.003852977652401294,5,83,1305,56,COMPLETE
41,35.747167775643256,2026-05-05 13:42:07.375354,2026-05-05 13:42:11.297390,0 days 00:00:03.922036,40.2557762817547,0.9230743046878256,0.005646204933884169,6,73,1401,64,COMPLETE
42,35.73198551751552,2026-05-05 13:42:11.297390,2026-05-05 13:42:15.188187,0 days 00:00:03.890797,38.31524974558944,0.9198355205855555,0.005607548263004405,6,74,1391,61,COMPLETE
43,35.875524796267975,2026-05-05 13:42:15.188187,2026-05-05 13:42:19.115518,0 days 00:00:03.927331,30.533775201440612,0.9349201843795234,0.005759308943386204,6,72,1433,48,COMPLETE
44,35.94349106491605,2026-05-05 13:42:19.116518,2026-05-05 13:42:22.769907,0 days 00:00:03.653389,38.53113207224232,0.9953590881566804,0.003397382269366651,5,77,1378,36,COMPLETE
45,36.10358169551676,2026-05-05 13:42:22.769907,2026-05-05 13:42:25.762723,0 days 00:00:02.992816,39.98737271103414,0.9226759818761294,0.01916397246458006,6,63,1433,63,COMPLETE
46,35.715636568391055,2026-05-05 13:42:25.762723,2026-05-05 13:42:27.746804,0 days 00:00:01.984081,34.606978667492804,0.848192033780337,0.008736545090698402,4,95,1225,58,COMPLETE
47,35.79758158482322,2026-05-05 13:42:27.746804,2026-05-05 13:42:29.306184,0 days 00:00:01.559380,32.817809499900825,0.8494088005871698,0.00882724466154781,3,93,1220,57,COMPLETE
48,38.55128253840262,2026-05-05 13:42:29.307112,2026-05-05 13:42:29.637426,0 days 00:00:00.330314,30.109094888167494,0.8867218672384922,0.014184582053175366,4,96,117,39,COMPLETE
49,36.10337581771178,2026-05-05 13:42:29.637426,2026-05-05 13:42:31.353071,0 days 00:00:01.715645,45.91845282493507,0.83850002267738,0.026481589897591213,4,81,1260,56,COMPLETE
50,37.1489778580182,2026-05-05 13:42:31.353071,2026-05-05 13:42:31.872451,0 days 00:00:00.519380,34.56469323118894,0.9588907634166772,0.24873677465417393,5,100,294,51,COMPLETE
51,35.746333807225994,2026-05-05 13:42:31.873321,2026-05-05 13:42:35.699438,0 days 00:00:03.826117,40.26387019688513,0.8915111634659739,0.005403552190781546,6,88,1393,64,COMPLETE
52,35.776858363757626,2026-05-05 13:42:35.699438,2026-05-05 13:42:38.740866,0 days 00:00:03.041428,44.469167816109476,0.8929021085976938,0.007979722797169304,6,88,1187,59,COMPLETE
