fold,type,rmse,mae
1,cv,29.025885988782218,17.70866068475384
2,cv,45.7765140218247,23.52127646572564
3,cv,24.18598274738127,15.56866933390361
4,cv,31.311357379547204,20.59478109906624
5,cv,31.331809117330796,19.670020640030682
test,test,31.471532532133562,20.673679222231797
