fold,actual,pred,residual
1,70.1,73.33072,-3.2307189941406307
1,66.56,70.26661,-3.706609191894529
1,67.68,71.67963,-3.999626464843743
1,79.97,77.30506,2.6649386596679676
1,96.26,98.32272,-2.06272338867187
1,107.88,107.780106,0.09989440917968295
1,99.07,103.56124,-4.491241149902351
1,87.3,84.33595,2.9640472412109347
1,68.19,75.63747,-7.447466430664065
1,59.92,61.44893,-1.5289288330078108
1,39.32,63.76785,-24.44784896850586
1,9.35,52.893745,-43.54374542236328
1,15.28,31.645319,-16.36531898498535
1,77.04,34.53126,42.50873855590821
1,67.38,74.39686,-7.016858215332036
1,96.06,89.01578,7.044222412109377
1,81.1,112.538284,-31.438284301757818
1,87.94,102.41982,-14.479822692871096
1,114.2,102.16012,12.039881896972659
1,103.43,104.521,-1.0910037231445244
1,95.41,90.76594,4.644062194824215
1,86.53,83.76925,2.7607510375976574
1,81.58,77.82941,3.7505932617187483
1,77.49,76.80497,0.6850302124023386
1,79.6,72.98335,6.616647338867182
1,75.56,70.96489,4.595110473632815
1,80.25,76.70902,3.5409774780273438
1,89.64,87.87856,1.7614370727539068
1,115.94,111.9504,3.989598693847654
1,118.44,121.224915,-2.7849145507812523
1,93.89,111.08763,-17.197631225585937
1,84.37,84.81199,-0.4419888305664017
1,72.09,70.40655,1.6834524536132847
1,63.15,60.034065,3.1159347534179673
1,56.06,56.830315,-0.7703146362304665
1,42.61,55.00144,-12.391438140869141
1,36.82,56.365585,-19.545585327148437
1,44.9,64.58414,-19.684136962890626
1,58.27,59.951397,-1.6813969421386687
1,76.62,91.154655,-14.534655456542964
1,85.95,96.23516,-10.285160827636716
1,100.83,103.497,-2.6670016479492205
1,110.5,108.96075,1.5392532348632812
1,101.31,103.20198,-1.8919805908203102
1,90.34,92.84973,-2.5097314453124966
1,85.06,81.97297,3.087030944824221
1,82.91,79.461845,3.448154602050778
1,78.37,79.01698,-0.646983032226558
1,75.92,76.5415,-0.621496276855467
1,73.4,71.74639,1.653608703613287
1,78.78,72.08753,6.69246795654297
1,76.75,77.49129,-0.7412872314453125
1,77.61,79.328835,-1.7188345336914068
1,73.63,79.44329,-5.813290710449223
1,70.0,68.4548,1.545196533203125
1,59.97,61.617115,-1.6471150207519543
1,25.62,47.182198,-21.56219757080078
1,6.23,22.580256,-16.35025550842285
1,2.59,10.766094,-8.176094207763672
1,2.22,7.2043495,-4.984349517822265
1,1.78,10.602201,-8.822201461791993
1,1.61,20.071379,-18.461378707885743
1,5.38,20.022835,-14.642834777832032
1,44.56,34.251465,10.308535156250002
1,75.0,61.642143,13.357856750488281
1,82.93,84.065636,-1.135635681152337
1,92.62,92.355225,0.26477539062500455
1,92.62,88.421646,4.198353881835942
1,85.78,81.70902,4.070977478027345
1,79.22,76.05922,3.1607806396484364
1,79.17,74.37625,4.793748779296877
1,73.1,78.151855,-5.051855468750006
1,70.77,67.89202,2.8779788208007773
1,69.93,63.99048,5.939521484375007
1,71.39,66.11219,5.277809753417969
1,70.5,67.6433,2.8566970825195312
1,67.41,68.3803,-0.9703024291992222
1,63.21,62.89519,0.3148088073730477
1,49.59,52.76732,-3.177318725585934
1,18.73,37.33199,-18.601989288330078
1,8.22,12.68956,-4.469559936523437
1,4.49,6.644671,-2.1546709632873533
1,4.06,6.7738633,-2.713863315582276
1,3.63,9.30018,-5.670180435180664
1,3.05,12.82281,-9.772810173034667
1,3.0,17.861929,-14.861928939819336
1,5.01,17.605082,-12.59508155822754
1,29.49,28.213734,1.2762663269042953
1,78.21,52.79686,25.413140258789056
1,99.19,87.05016,12.139836730957029
1,109.79,98.04239,11.747611083984381
1,102.6,98.18158,4.418420410156244
1,99.0,89.3083,9.691703796386719
1,86.98,86.50952,0.470478515625004
1,78.71,73.82159,4.888413391113275
1,71.1,73.51151,-2.411512756347662
1,70.07,67.05023,3.019768066406243
1,70.8,67.167656,3.6323440551757784
1,73.81,83.11502,-9.305020751953123
1,87.53,92.29946,-4.769461364746093
1,116.11,103.79775,12.312247619628906
1,115.07,119.785866,-4.715865783691413
1,99.95,108.89437,-8.944371032714841
1,86.37,88.71142,-2.341418151855464
1,80.13,76.59251,3.537493591308589
1,70.08,74.28532,-4.205316467285158
1,80.2,71.50769,8.692309570312503
1,80.15,79.96906,0.18093719482422443
1,80.15,85.93791,-5.787911987304682
1,80.16,95.00737,-14.847369995117191
1,78.73,97.30928,-18.57928039550781
1,91.04,118.99239,-27.952393493652337
1,100.76,119.45571,-18.69571136474609
1,133.63,121.566315,12.06368530273437
1,154.41,136.1299,18.280101928710934
1,127.82,134.94131,-7.121314697265632
1,101.16,113.93247,-12.77247222900391
1,88.97,92.19654,-3.2265408325195324
1,80.21,85.92914,-5.719138183593756
1,79.4,80.51607,-1.1160675048828068
1,78.43,77.42643,1.0035702514648506
1,81.61,79.01046,2.5995401000976557
1,85.12,88.19324,-3.0732373046874955
1,89.5,97.92395,-8.4239501953125
1,141.5,110.232735,31.26726531982422
1,144.15,143.29414,0.8558563232421932
1,122.35,131.3007,-8.950704956054693
1,94.9,106.844826,-11.9448257446289
1,86.69,86.06839,0.6216101074218727
1,82.04,80.83093,1.2090673828125063
1,80.19,81.54972,-1.3597207641601585
1,80.19,82.76284,-2.572840270996096
1,80.19,85.88053,-5.6905313110351585
1,80.2,90.5267,-10.326702880859372
1,79.73,93.82049,-14.090487976074215
1,91.33,100.35575,-9.025751037597658
1,105.58,111.94899,-6.368989868164064
1,132.34,124.90534,7.434657897949222
1,150.95,141.34818,9.601824951171864
1,124.99,134.23581,-9.24580932617188
1,101.7,107.12647,-5.426472473144528
1,89.99,90.429756,-0.43975616455078637
1,93.19,84.341415,8.84858459472656
1,88.77,89.22797,-0.457966308593754
1,88.77,82.74906,6.02093841552734
1,89.34,86.83907,2.5009268188476597
1,89.24,93.94238,-4.702382812500005
1,95.55,99.21713,-3.667132568359378
1,127.66,116.675156,10.984844360351559
1,141.66,135.05522,6.604778442382809
1,114.41,131.42366,-17.013660278320316
1,98.5,103.10504,-4.60504150390625
1,93.12,88.039696,5.080304260253911
1,86.6,82.39564,4.204362487792963
1,79.95,82.00837,-2.0583694458007784
1,77.36,81.61771,-4.257706298828126
1,76.45,86.43763,-9.987629699707028
1,79.05,90.77799,-11.727992248535159
1,90.0,85.32647,4.673530578613281
1,92.86,107.54141,-14.681412353515626
1,100.95,110.562965,-9.612965393066403
1,137.6,122.66414,14.935861206054682
1,146.48,139.16081,7.319187622070302
1,126.94,130.46051,-3.5205102539062523
1,105.82,111.68816,-5.868163757324226
1,94.9,96.17854,-1.2785430908203068
1,93.93,90.86479,3.0652081298828193
1,89.26,90.56643,-1.3064291381835886
1,83.04,83.83951,-0.7995080566406187
1,79.74,81.14353,-1.4035317993164114
1,81.15,83.636696,-2.4866958618164006
1,87.54,90.305954,-2.7659539794921812
1,179.24,107.35403,71.88597320556642
1,250.04,166.49481,83.54518798828124
1,94.09,186.10649,-92.01649108886718
1,83.78,83.22019,0.5598080444335949
1,74.64,79.77218,-5.132178649902343
1,68.5,71.146126,-2.6461257934570312
1,81.89,69.301414,12.588585510253907
1,81.89,76.161156,5.728844299316407
1,81.89,85.49488,-3.6048806762695307
1,81.9,96.91404,-15.0140396118164
1,71.17,97.43116,-26.26115997314453
1,81.9,95.91349,-14.01349029541015
1,119.0,102.13386,16.86614227294922
1,141.88,131.25673,10.623270874023433
1,300.0,145.37875,154.62124633789062
1,118.99,208.5485,-89.55849243164063
1,96.58,97.0489,-0.46889678955078296
1,91.0,91.783775,-0.7837753295898438
1,95.0,83.23849,11.761512756347656
1,89.7,91.2535,-1.553501892089841
1,79.73,78.40465,1.3253521728515665
1,76.0,79.34202,-3.3420181274414062
1,76.25,81.82703,-5.5770263671875
1,88.53,89.76133,-1.2313296508789051
1,102.82,118.41465,-15.594649963378913
1,103.97,130.44307,-26.473069458007814
1,103.94,95.63136,8.308637084960935
1,91.39,98.8064,-7.416396484374999
1,82.26,79.68136,2.5786416625976614
1,75.43,74.3337,1.096297912597663
1,70.03,72.759964,-2.7299639892578114
1,65.46,69.55194,-4.091940917968756
1,64.06,67.289,-3.2290014648437477
1,68.39,69.01507,-0.6250680541992182
1,72.64,73.82125,-1.1812509155273432
1,80.63,81.286644,-0.6566439819335983
1,95.0,91.75193,3.2480697631835938
1,104.12,107.08723,-2.9672268676757767
1,106.45,128.84953,-22.399533081054685
1,104.12,100.15652,3.963482971191411
1,97.48,89.799805,7.680195312500004
1,86.0,84.14078,1.859222412109375
1,89.03,79.47657,9.55342987060547
1,84.1,83.34504,0.7549606323242131
1,84.13,76.9518,7.178202514648433
1,80.32,74.76651,5.553489990234368
1,77.44,73.16709,4.2729086303710915
1,79.87,73.207306,6.6626940917968795
1,79.43,87.66954,-8.23954040527343
1,85.0,89.36224,-4.36224365234375
1,81.7,72.78394,8.916056823730472
1,64.22,69.15705,-4.937051086425782
1,25.61,50.55524,-24.945240631103516
1,12.91,22.406324,-9.49632438659668
1,4.56,19.119827,-14.559827270507814
1,13.96,13.69697,0.2630300140380868
1,8.57,22.734615,-14.164615325927734
1,10.35,19.698425,-9.34842529296875
1,13.65,22.716187,-9.0661865234375
1,44.5,32.322857,12.177143096923828
1,74.97,63.036194,11.933806152343749
1,86.16,83.632416,2.5275842285156216
1,91.68,107.638885,-15.958885498046868
1,88.4,83.19095,5.209051513671881
1,82.5,80.53749,1.9625091552734375
1,70.45,73.26713,-2.8171279907226534
1,66.46,71.19243,-4.732428588867194
1,59.46,70.4531,-10.993102111816405
1,52.95,57.979553,-5.029553222656247
1,49.4,50.70008,-1.3000808715820327
1,48.03,48.396935,-0.3669345092773426
1,39.44,48.92403,-9.48403030395508
1,48.77,43.33873,5.431270141601566
1,46.65,50.828255,-4.178254699707033
1,28.44,43.206974,-14.766974029541014
1,15.9,23.117031,-7.217031097412109
1,0.02,10.93797,-10.917970161437989
1,-1.27,1.6945527,-2.9645526599884033
1,-3.46,2.9126942,-6.372694215774536
1,-5.06,4.868045,-9.928044853210448
1,-5.09,4.9762974,-10.066297378540039
1,-5.24,7.484912,-12.724911918640137
1,-0.1,9.836873,-9.936873054504394
1,27.92,20.977667,6.942333145141603
1,84.9,48.995815,35.904184722900396
1,99.91,88.488525,11.421474609374997
1,106.94,93.952866,12.98713439941406
1,106.91,93.82625,13.083751831054684
1,99.32,89.69172,9.628280944824212
1,89.78,82.52241,7.25759246826172
1,94.33,79.15961,15.170393066406248
1,85.08,85.74532,-0.6653231811523455
1,85.02,78.47549,6.544513244628902
1,81.63,78.688866,2.9411343383789017
1,83.95,85.29626,-1.346257019042966
1,93.33,94.53674,-1.2067431640625017
1,108.23,114.60477,-6.374766845703121
1,124.75,126.18455,-1.4345474243164062
1,124.39,113.877235,10.512764587402344
1,106.01,104.85851,1.1514871215820364
1,90.33,89.11525,1.2147503662109358
1,77.58,81.50804,-3.928041381835939
