fold,type,rmse,mae
1,cv,30.630861536397685,18.833362806861295
2,cv,39.66943382146713,18.273029907236598
3,cv,22.83657734101529,13.397226295829885
4,cv,32.802581811307,20.977672842512458
5,cv,31.949110116345135,19.63815001818132
test,test,30.37694955415758,17.828915513408923
