number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
29,35.32880669365399,2026-05-05 11:59:48.110902,2026-05-05 12:00:30.599216,0 days 00:00:42.488314,16,0.3907573304516673,0.3485916307485654,0.0025912290595657694,0.0067182637444308324,3,160,256.0,192.0,COMPLETE
30,36.16754521703107,2026-05-05 12:00:30.600232,2026-05-05 12:00:44.938349,0 days 00:00:14.338117,128,0.3361727180800356,0.4310764616347728,0.2845189130679057,0.007274822456537406,3,160,160.0,64.0,COMPLETE
31,31.55675616378815,2026-05-05 12:00:44.938349,2026-05-05 12:00:59.845129,0 days 00:00:14.906780,128,0.1933220005599452,0.05468346483516884,,0.001965349618362514,2,128,224.0,,COMPLETE
32,31.673711158590464,2026-05-05 12:00:59.845733,2026-05-05 12:01:12.937536,0 days 00:00:13.091803,128,0.193673700060068,0.06920129166868363,,0.003396896011205731,2,192,224.0,,COMPLETE
33,32.549251404307746,2026-05-05 12:01:12.938522,2026-05-05 12:01:26.880752,0 days 00:00:13.942230,128,0.19179461297944,0.0871797558841459,0.18958397920352654,0.0011291717281000334,3,224,224.0,160.0,COMPLETE
34,30.64810381983448,2026-05-05 12:01:26.881744,2026-05-05 12:01:38.676719,0 days 00:00:11.794975,128,0.14611804727699595,,,0.0025155385672590994,1,192,,,COMPLETE
35,32.04977603720958,2026-05-05 12:01:38.678731,2026-05-05 12:01:52.259620,0 days 00:00:13.580889,128,0.13412658858842708,,,0.002409893363553634,1,32,,,COMPLETE
36,31.724000087098336,2026-05-05 12:01:52.259620,2026-05-05 12:02:04.114298,0 days 00:00:11.854678,128,0.06913962829445024,,,0.0032237876831217116,1,64,,,COMPLETE
37,31.559946539001096,2026-05-05 12:02:04.114298,2026-05-05 12:02:22.733024,0 days 00:00:18.618726,64,0.09743086134348458,,,0.0015928816312205023,1,224,,,COMPLETE
38,31.436524501951663,2026-05-05 12:02:22.733024,2026-05-05 12:02:38.548067,0 days 00:00:15.815043,64,0.09457416119561157,,,0.001541852168707221,1,256,,,COMPLETE
39,31.538174747024687,2026-05-05 12:02:38.549066,2026-05-05 12:02:57.117152,0 days 00:00:18.568086,64,0.03981609715199233,,,0.0012525557004743428,1,256,,,COMPLETE
40,32.06345580240637,2026-05-05 12:02:57.118150,2026-05-05 12:03:17.210448,0 days 00:00:20.092298,64,0.02924930682266219,,,0.0013223140111702763,1,256,,,COMPLETE
41,31.7963499024165,2026-05-05 12:03:17.210448,2026-05-05 12:03:29.857376,0 days 00:00:12.646928,64,0.041916762285925946,,,0.002273580373174079,1,256,,,COMPLETE
42,31.850820787553964,2026-05-05 12:03:29.858367,2026-05-05 12:03:45.722098,0 days 00:00:15.863731,64,0.09612817899486886,,,0.001898753666823698,1,256,,,COMPLETE
43,31.26471425300022,2026-05-05 12:03:45.722169,2026-05-05 12:04:01.595861,0 days 00:00:15.873692,64,0.16028321585257282,,,0.0010839469537095325,1,224,,,COMPLETE
44,31.48277044492604,2026-05-05 12:04:01.595861,2026-05-05 12:04:16.308841,0 days 00:00:14.712980,64,0.11352498544573719,,,0.0013737297576122424,1,224,,,COMPLETE
45,31.104128042984293,2026-05-05 12:04:16.309847,2026-05-05 12:04:34.003010,0 days 00:00:17.693163,64,0.1663491071447636,,,0.001037230218546536,1,224,,,COMPLETE
46,30.97381844801069,2026-05-05 12:04:34.003010,2026-05-05 12:04:50.987778,0 days 00:00:16.984768,64,0.16064973251164782,,,0.0010387324197504901,1,224,,,COMPLETE
47,31.10677902578967,2026-05-05 12:04:50.987778,2026-05-05 12:05:06.802210,0 days 00:00:15.814432,64,0.16756924937783993,,,0.0010238539358494363,1,224,,,COMPLETE
48,31.603500808954855,2026-05-05 12:05:06.803725,2026-05-05 12:05:21.841595,0 days 00:00:15.037870,64,0.16568934445962372,,,0.0010248292526790076,1,224,,,COMPLETE
49,31.046142025863993,2026-05-05 12:05:21.841595,2026-05-05 12:05:43.502276,0 days 00:00:21.660681,64,0.16537316550125755,,,0.0010581577004068004,1,224,,,COMPLETE
50,49.94090105646436,2026-05-05 12:05:43.503614,2026-05-05 12:06:04.597176,0 days 00:00:21.093562,32,0.17816870355680417,,,0.09369753358762584,1,224,,,COMPLETE
51,31.32050520806886,2026-05-05 12:06:04.598180,2026-05-05 12:06:24.373672,0 days 00:00:19.775492,64,0.15277638601679694,,,0.0010039533320281612,1,224,,,COMPLETE
52,31.775462727964793,2026-05-05 12:06:24.374710,2026-05-05 12:06:39.466931,0 days 00:00:15.092221,64,0.13107121084087303,,,0.0024609427204099806,1,224,,,COMPLETE
53,32.0176802378148,2026-05-05 12:06:39.466931,2026-05-05 12:06:53.472465,0 days 00:00:14.005534,64,0.16256644929196817,,,0.0013458383826645513,1,192,,,COMPLETE
54,31.245184573841506,2026-05-05 12:06:53.472465,2026-05-05 12:07:12.559954,0 days 00:00:19.087489,64,0.12099838388943729,,,0.00101709078610274,1,224,,,COMPLETE
55,31.296064185597412,2026-05-05 12:07:12.559954,2026-05-05 12:07:28.644026,0 days 00:00:16.084072,64,0.06773620786886168,,,0.0017949516382332032,1,224,,,COMPLETE
56,31.03856567544067,2026-05-05 12:07:28.644848,2026-05-05 12:07:42.203442,0 days 00:00:13.558594,64,0.120332630544511,,,0.0015391310277398584,1,192,,,COMPLETE
