fold,type,rmse,mae
1,cv,30.339156410959056,18.71664894100684
2,cv,46.24654347602251,19.65763611342282
3,cv,24.506938969716096,14.952976660856272
4,cv,31.40074909424479,20.8080466122854
5,cv,31.532772375446694,20.30032972129685
test,test,31.852092540494752,21.169930160947708
