number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
32,33.78419169092267,2026-05-07 22:09:29.688897,2026-05-07 22:10:22.462782,0 days 00:00:52.773885,32,0.23156517098537005,0.30327564625416825,,0.0030727422959366166,2,224,96.0,,COMPLETE
33,33.178139847218986,2026-05-07 22:10:22.463724,2026-05-07 22:10:48.940231,0 days 00:00:26.476507,32,0.32902140394480117,,,0.0019734343467344194,1,32,,,COMPLETE
34,34.61869674154834,2026-05-07 22:10:48.940231,2026-05-07 22:11:37.676852,0 days 00:00:48.736621,32,0.07184524936325826,0.1855717322894628,,0.0012737837065846611,2,192,64.0,,COMPLETE
35,32.97313674981806,2026-05-07 22:11:37.677900,2026-05-07 22:12:05.195303,0 days 00:00:27.517403,32,0.4240033137923795,,,0.005462855137065888,1,160,,,COMPLETE
36,33.663993510052066,2026-05-07 22:12:05.196574,2026-05-07 22:12:47.658451,0 days 00:00:42.461877,32,0.13799708593211885,0.09091038272419878,0.01254700495703348,0.0018675754034174357,3,192,160.0,32.0,COMPLETE
37,33.66557685634386,2026-05-07 22:12:47.658451,2026-05-07 22:13:27.343149,0 days 00:00:39.684698,16,0.17133086465003622,,,0.003063132974510384,1,64,,,COMPLETE
38,36.326146071189775,2026-05-07 22:13:27.343149,2026-05-07 22:13:40.466174,0 days 00:00:13.123025,128,0.28194006034444385,0.005339054619667268,,0.00924556375494315,2,32,32.0,,COMPLETE
39,34.20657265053105,2026-05-07 22:13:40.466717,2026-05-07 22:14:10.408818,0 days 00:00:29.942101,32,0.4829687069991877,,,0.005342917660045018,1,256,,,COMPLETE
40,32.84730693475695,2026-05-07 22:14:10.409094,2026-05-07 22:14:40.705963,0 days 00:00:30.296869,32,0.35120963073937245,,,0.002224809458259217,1,192,,,COMPLETE
41,33.58876768320992,2026-05-07 22:14:40.705963,2026-05-07 22:15:10.933000,0 days 00:00:30.227037,32,0.3517731619338019,,,0.0013120462774131362,1,192,,,COMPLETE
42,33.329949408574734,2026-05-07 22:15:10.933000,2026-05-07 22:15:39.436877,0 days 00:00:28.503877,32,0.30660828220628294,,,0.0020673929105005334,1,224,,,COMPLETE
43,78.54477367896747,2026-05-07 22:15:39.436877,2026-05-07 22:16:14.704895,0 days 00:00:35.268018,32,0.36820588532635323,,,0.09189716275445317,1,192,,,COMPLETE
44,33.07503110182202,2026-05-07 22:16:14.704895,2026-05-07 22:17:08.964358,0 days 00:00:54.259463,16,0.4004001385287704,,,0.0032766528474653172,1,160,,,COMPLETE
45,32.78704816246678,2026-05-07 22:17:08.964358,2026-05-07 22:17:25.836409,0 days 00:00:16.872051,64,0.3213125473569891,,,0.0023949878716600136,1,96,,,COMPLETE
46,32.66682102505572,2026-05-07 22:17:25.836919,2026-05-07 22:17:42.565815,0 days 00:00:16.728896,64,0.3200248187356014,,,0.0023385179924498723,1,96,,,COMPLETE
47,32.997916110826,2026-05-07 22:17:42.566901,2026-05-07 22:17:58.995096,0 days 00:00:16.428195,64,0.3190850165959602,,,0.0025405561273807256,1,96,,,COMPLETE
48,33.46962552849962,2026-05-07 22:17:58.995096,2026-05-07 22:18:15.431636,0 days 00:00:16.436540,64,0.37814452090098355,,,0.001017452014959943,1,96,,,COMPLETE
49,32.40992528719835,2026-05-07 22:18:15.431636,2026-05-07 22:18:33.242433,0 days 00:00:17.810797,64,0.3443619454317063,,,0.0022865787917365848,1,256,,,COMPLETE
50,33.727799640658894,2026-05-07 22:18:33.242433,2026-05-07 22:18:56.751444,0 days 00:00:23.509011,64,0.26748815508619456,,,0.001648045624088716,1,256,,,COMPLETE
