value
27.23
24.28
13.0
7.98
4.85
6.05
10.09
14.03
19.07
17.83
11.7
6.93
6.04
6.09
19.1
27.43
30.9
27.61
25.9
12.47
20.79
31.04
32.38
35.35
36.13
36.13
38.57
41.81
45.59
66.81
86.63
89.34
90.96
98.73
99.38
90.0
110.04
137.85
141.17
146.14
129.91
88.91
80.04
65.91
59.69
51.24
46.52
47.13
42.94
42.15
40.8
41.62
45.75
98.44
104.33
98.45
98.47
98.43
76.15
98.44
75.11
72.21
98.45
100.0
100.07
100.03
70.01
60.14
53.73
47.42
43.34
39.85
38.74
38.69
38.32
42.7
52.07
150.93
108.29
142.6
115.0
166.35
158.61
142.58
132.8
142.52
140.0
150.11
160.69
155.15
130.34
120.97
119.9
82.29
75.77
83.56
97.38
82.7
84.92
92.84
107.95
152.75
181.36
164.83
155.88
154.81
138.63
146.47
151.16
155.35
170.33
180.33
173.75
156.61
151.55
145.65
143.66
119.0
106.21
108.11
130.39
118.38
116.53
135.41
145.79
171.79
203.08
229.42
216.38
204.73
196.69
189.26
181.63
182.36
187.39
195.2
203.22
203.4
192.28
171.48
157.11
151.0
108.13
123.01
109.99
104.99
97.57
103.04
98.75
80.14
96.38
142.84
167.54
161.29
151.92
142.89
131.06
131.22
132.64
140.76
173.92
174.6
140.08
134.51
129.34
107.87
89.92
79.4
79.17
80.0
81.43
81.94
110.9
62.25
64.92
86.01
120.99
137.64
124.39
108.59
119.98
151.19
153.71
171.03
191.99
199.13
199.17
174.71
165.25
157.35
146.97
108.55
124.13
91.16
108.5
146.28
146.71
189.96
226.54
251.73
263.74
243.94
224.71
215.65
213.92
214.42
218.99
219.19
242.93
242.12
217.83
198.65
179.6
167.96
70.06
160.89
156.23
140.75
110.07
99.59
108.29
179.2
205.04
245.07
250.27
232.93
224.46
219.11
207.16
216.41
218.49
224.58
244.0
244.0
206.0
207.29
99.59
25.05
20.7
102.22
9.0
4.58
4.1
6.08
40.04
77.99
163.99
153.65
154.77
140.67
130.92
131.19
130.85
130.5
118.26
133.35
143.81
125.45
125.2
93.73
45.02
31.21
30.01
100.81
71.34
70.06
100.8
120.89
106.56
160.39
182.49
198.95
199.06
192.38
189.57
180.53
180.29
127.96
135.48
153.0
181.73
150.0
187.27
110.28
106.53
69.01
61.08
78.56
81.91
91.56
94.96
109.42
123.19
147.39
176.1
195.0
199.19
190.32
185.44
178.67
175.68
177.14
180.56
183.49
193.3
195.88
189.05
177.14
162.26
151.39
135.01
115.92
111.72
79.36
45.01
85.07
111.75
50.99
101.5
111.72
111.77
101.51
100.0
100.0
35.83
64.59
97.11
111.71
100.01
100.01
111.73
85.02
30.81
30.12
30.01
29.76
29.32
28.37
28.23
28.62
26.99
27.26
29.18
30.9
111.02
47.59
34.0
33.89
34.95
34.38
32.54
104.52
48.9
34.85
31.17
28.53
25.98
25.08
18.34
13.09
5.76
4.95
4.05
9.03
26.74
58.21
82.01
106.73
106.26
105.0
89.03
95.81
85.16
70.0
106.21
108.57
111.02
111.05
106.23
75.01
30.01
21.24
10.0
25.36
25.2
25.58
26.3
29.24
30.36
103.99
110.67
149.56
121.3
110.65
105.04
110.6
110.62
110.62
110.63
110.67
112.29
110.68
110.66
102.8
100.6
81.98
68.83
85.0
69.12
69.09
71.03
80.52
100.01
130.39
209.88
150.0
110.46
130.28
141.16
134.28
149.99
134.87
134.37
150.0
143.63
144.97
111.75
111.97
109.89
95.92
84.99
92.36
92.25
90.71
92.22
92.37
84.84
124.23
138.93
170.27
178.2
170.09
167.21
156.86
152.74
157.57
159.47
167.28
178.17
183.12
172.18
142.09
140.09
127.03
103.93
108.3
101.38
95.02
89.49
103.03
126.44
148.66
160.65
164.89
159.58
139.65
149.35
145.56
141.66
135.08
189.85
155.48
155.47
165.48
141.47
113.77
105.21
98.13
82.69
87.96
72.39
73.04
74.95
85.94
119.63
121.48
124.25
135.88
165.76
160.17
152.63
145.27
130.17
130.87
138.21
155.36
170.29
179.74
175.64
163.86
154.34
131.62
108.03
111.95
111.91
103.67
103.39
111.96
114.02
49.41
88.0
120.81
118.06
117.32
121.94
115.94
106.95
109.69
116.44
119.97
141.91
133.63
131.16
124.11
121.83
119.96
74.15
105.25
84.93
79.08
89.99
120.01
145.35
175.67
200.65
213.39
200.65
185.08
179.84
168.72
159.28
163.44
169.63
181.8
198.94
213.5
200.45
186.21
162.48
152.5
105.23
142.29
130.27
121.64
115.35
138.21
157.57
166.45
193.28
214.16
191.85
173.34
172.51
173.95
180.09
180.09
172.28
185.42
216.93
239.7
223.5
194.25
183.66
157.41
117.03
79.93
78.13
71.61
64.99
65.0
128.18
127.13
191.92
211.0
173.48
128.0
131.8
148.03
151.43
163.97
166.27
182.9
183.99
127.36
110.59
30.0
30.1
40.04
30.0
70.08
60.05
30.0
30.76
60.06
50.1
81.82
127.95
127.92
110.87
110.83
110.83
110.81
73.44
78.62
110.81
110.87
110.88
110.89
110.86
23.43
30.02
40.0
20.07
104.67
38.71
18.79
25.01
23.86
34.99
90.0
91.62
116.42
111.11
85.9
73.75
94.93
89.54
111.12
67.27
111.15
111.15
85.36
111.14
85.08
111.12
30.06
30.01
32.46
63.44
45.01
57.93
73.62
67.53
59.99
64.29
103.03
111.86
106.83
78.99
66.55
56.21
57.56
111.81
111.83
111.8
111.87
108.74
111.83
109.28
94.5
86.63
121.25
110.27
33.5
70.04
111.82
111.87
111.85
111.88
130.01
130.03
130.0
111.87
111.83
111.88
111.88
111.85
111.9
130.03
130.0
111.86
111.86
111.87
20.07
16.16
110.01
110.01
13.67
12.68
100.0
136.77
140.03
196.08
180.57
130.03
130.02
111.88
111.89
111.86
111.86
111.87
130.02
173.02
179.24
130.04
110.1
110.04
39.03
45.05
85.1
55.69
85.06
104.94
111.38
138.53
162.24
195.19
202.02
176.27
134.94
135.82
130.05
125.41
128.79
132.32
152.7
176.47
195.19
188.34
162.51
156.25
147.41
122.52
99.58
76.13
68.09
69.07
111.38
149.99
157.33
185.0
188.76
171.22
157.18
150.33
155.01
150.34
128.98
128.95
157.12
158.8
169.36
159.91
120.1
125.07
103.3
75.04
111.3
69.38
50.03
46.65
45.88
142.79
154.32
162.51
164.81
158.52
146.67
138.7
129.48
133.21
144.85
160.14
150.84
162.02
160.63
146.52
129.9
148.03
66.31
65.04
60.09
84.76
58.15
72.93
92.69
145.43
150.01
158.52
157.27
156.29
152.95
159.23
146.67
141.62
139.03
137.25
137.26
141.22
124.67
75.03
40.02
40.04
29.79
22.22
27.46
24.93
22.98
36.62
61.15
77.45
26.78
28.89
93.73
100.19
99.45
100.44
91.1
82.74
86.37
91.86
109.18
109.84
108.78
90.39
71.02
106.57
107.99
72.06
40.0
40.01
41.9
84.42
40.0
46.12
40.0
45.59
107.22
88.78
73.1
81.91
90.48
90.45
87.66
103.0
107.21
115.52
113.79
103.31
96.38
107.24
104.72
85.17
62.31
45.04
42.75
33.18
32.24
83.36
107.13
113.77
115.18
109.86
107.09
106.66
105.56
104.72
100.06
94.89
104.71
105.56
105.56
105.21
85.47
61.21
50.61
43.0
45.01
42.84
42.84
44.66
61.03
99.11
145.2
114.68
117.43
119.76
114.68
130.95
129.72
108.18
113.8
114.91
142.78
164.85
178.13
176.25
165.92
154.99
120.03
110.99
136.54
113.16
112.53
124.98
131.17
152.73
166.42
173.13
176.34
164.55
152.75
138.34
142.38
147.44
149.99
163.11
164.45
165.01
174.41
131.93
105.12
154.02
105.14
40.04
128.12
106.8
60.0
60.05
106.86
115.22
135.63
157.73
173.81
163.96
139.9
119.74
115.21
127.23
135.6
115.24
115.21
120.61
123.34
111.79
104.2
103.62
90.0
73.31
59.94
48.07
72.07
105.57
111.93
111.94
149.32
150.0
129.85
136.18
134.96
149.99
150.0
150.0
144.05
116.35
149.99
150.0
135.93
149.55
113.82
111.93
92.17
31.58
71.73
64.91
57.62
56.06
71.24
80.01
66.1
72.0
78.77
75.75
63.08
101.81
49.97
44.99
49.99
63.05
91.53
115.42
109.72
74.92
54.64
64.4
70.11
50.03
83.26
61.52
50.64
51.28
74.4
48.85
55.41
61.43
99.94
92.87
97.41
93.16
84.44
55.31
54.59
86.4
