number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
30,32.36048433112243,2026-05-08 09:11:59.324434,2026-05-08 09:15:20.909122,0 days 00:03:21.584688,16,48,0.2347736478181472,,,0.006001692314519983,1,12,224,,,COMPLETE
31,32.01610407232174,2026-05-08 09:15:20.909122,2026-05-08 09:20:06.003506,0 days 00:04:45.094384,16,112,0.28604567460224534,,,0.00278422993259846,1,12,256,,,COMPLETE
32,31.53586239759462,2026-05-08 09:20:06.003506,2026-05-08 09:23:33.599316,0 days 00:03:27.595810,16,128,0.24733462968599296,,,0.0018843137368576843,1,12,224,,,COMPLETE
33,41.06094026215091,2026-05-08 09:23:33.600317,2026-05-08 09:26:55.435820,0 days 00:03:21.835503,16,96,0.33199502672954295,,,0.028236542496276926,1,12,224,,,COMPLETE
34,39.448906744803914,2026-05-08 09:26:55.435820,2026-05-08 09:33:39.509717,0 days 00:06:44.073897,16,112,0.2871343187245536,0.3836272317344186,0.10045763591495149,0.0027235413638547657,3,12,192,64.0,256.0,COMPLETE
35,32.33877586046843,2026-05-08 09:33:39.509717,2026-05-08 09:41:01.508553,0 days 00:07:21.998836,16,80,0.38303654828031636,,,0.004005634389231862,1,24,256,,,COMPLETE
36,32.352733689773856,2026-05-08 09:41:01.509413,2026-05-08 09:44:50.061174,0 days 00:03:48.551761,64,112,0.42987159734023705,,,0.0015083466421247776,1,12,224,,,COMPLETE
37,33.99394551696046,2026-05-08 09:44:50.061174,2026-05-08 09:45:48.593005,0 days 00:00:58.531831,16,96,0.13656136793330306,,,0.0011190139797302575,1,1,160,,,COMPLETE
38,33.19240779222432,2026-05-08 09:45:48.593005,2026-05-08 09:58:38.848813,0 days 00:12:50.255808,32,128,0.36742699724021294,0.20020000991271558,,0.001777064621271795,2,24,256,160.0,,COMPLETE
39,32.36488467460322,2026-05-08 09:58:38.848813,2026-05-08 10:01:38.885078,0 days 00:03:00.036265,64,32,0.31930262767387196,0.26821918823941077,,0.0023678086742929794,2,6,192,192.0,,COMPLETE
40,35.14410314525365,2026-05-08 10:01:38.885078,2026-05-08 10:07:14.546005,0 days 00:05:35.660927,16,80,0.21474188511898884,0.45028021625576564,0.15307082758927731,0.004434592497671459,3,12,64,96.0,96.0,COMPLETE
41,31.34721438364422,2026-05-08 10:07:14.546498,2026-05-08 10:11:38.698882,0 days 00:04:24.152384,16,128,0.17574115532827386,,,0.0010457509785992754,1,12,256,,,COMPLETE
42,31.51105785138941,2026-05-08 10:11:38.698882,2026-05-08 10:15:24.399023,0 days 00:03:45.700141,16,128,0.1715899076261443,,,0.0014325946153809033,1,12,256,,,COMPLETE
43,31.576362844420238,2026-05-08 10:15:24.400024,2026-05-08 10:19:38.134510,0 days 00:04:13.734486,16,112,0.20072162868487103,,,0.0011605396817551794,1,12,224,,,COMPLETE
44,31.5766555487527,2026-05-08 10:19:38.134510,2026-05-08 10:25:46.793054,0 days 00:06:08.658544,16,128,0.13653492005054407,,,0.0010131494553444775,1,12,256,,,COMPLETE
45,31.3468344037301,2026-05-08 10:25:46.793054,2026-05-08 10:34:27.345770,0 days 00:08:40.552716,16,128,0.2542561687280912,,,0.0014889324491435168,1,24,256,,,COMPLETE
46,31.848758730321173,2026-05-08 10:34:27.345770,2026-05-08 10:39:29.419216,0 days 00:05:02.073446,32,112,0.2520975181154807,,,0.002918102535656755,1,24,224,,,COMPLETE
47,33.56248429232955,2026-05-08 10:39:29.420317,2026-05-08 10:49:47.793777,0 days 00:10:18.373460,16,96,0.3034621383835095,0.35971923663596334,,0.0015580473433000413,2,24,256,64.0,,COMPLETE
48,31.77887324298722,2026-05-08 10:49:47.794787,2026-05-08 10:58:35.721416,0 days 00:08:47.926629,16,128,0.3614014963149572,,,0.0020959451993856877,1,24,192,,,COMPLETE
49,35.248519058924316,2026-05-08 10:58:35.721416,2026-05-08 11:03:56.110658,0 days 00:05:20.389242,16,48,0.27835195669477675,,,0.008313203880643915,1,24,224,,,COMPLETE
50,32.14196301942943,2026-05-08 11:03:56.110869,2026-05-08 11:04:36.018285,0 days 00:00:39.907416,64,96,0.3232390204647619,,,0.005497885325606228,1,6,96,,,COMPLETE
51,32.54365912357754,2026-05-08 11:04:36.019248,2026-05-08 11:08:22.680643,0 days 00:03:46.661395,16,128,0.2178693288542416,,,0.0012155368914605177,1,12,256,,,COMPLETE
52,31.394184822698758,2026-05-08 11:08:22.681163,2026-05-08 11:12:38.719260,0 days 00:04:16.038097,16,128,0.24211612943431707,,,0.0015910076942785459,1,12,256,,,COMPLETE
53,31.13492551205524,2026-05-08 11:12:38.719260,2026-05-08 11:22:50.339660,0 days 00:10:11.620400,16,112,0.17516302861835278,,,0.0018555970873072357,1,24,256,,,COMPLETE
54,31.718498994738763,2026-05-08 11:22:50.339660,2026-05-08 11:30:40.505862,0 days 00:07:50.166202,16,112,0.34399055791948724,,,0.0023143652235314903,1,24,224,,,COMPLETE
55,31.953493520950502,2026-05-08 11:30:40.506783,2026-05-08 11:38:02.552434,0 days 00:07:22.045651,16,112,0.26517403866421746,,,0.0018636061740774218,1,24,256,,,COMPLETE
56,31.419090361234304,2026-05-08 11:38:02.553440,2026-05-08 11:44:50.811448,0 days 00:06:48.258008,16,112,0.15306735002547528,,,0.0024658869670880564,1,24,224,,,COMPLETE
57,31.593758804666624,2026-05-08 11:44:50.811448,2026-05-08 11:52:27.090071,0 days 00:07:36.278623,32,112,0.19250564847484708,,,0.00309817682293808,1,24,256,,,COMPLETE
58,31.576369795827468,2026-05-08 11:52:27.090071,2026-05-08 11:59:05.237329,0 days 00:06:38.147258,16,16,0.2252217581659134,,,0.001718621361340631,1,24,224,,,COMPLETE
