fold,type,rmse,mae
1,cv,29.55332244752461,18.189473401887227
2,cv,45.78778539347171,23.45323637193595
3,cv,23.452213432742106,14.533508165254347
4,cv,31.985976128844648,21.558450860277382
5,cv,31.610804118713208,20.01751377328996
test,test,31.271986079926666,19.979774930193983
