fold,type,rmse,mae
1,cv,29.702819913990623,18.501428029549956
2,cv,43.792777684540766,19.866813134298972
3,cv,25.138005959580152,16.619933566971838
4,cv,31.625056906866913,20.67849695323913
5,cv,32.08153573584387,20.782288620390183
test,test,30.963925779072586,19.09409524498812
