fold,type,rmse,mae,rmae
1,cv,30.70799148837663,20.289190952446038,0.5620894590241317
2,cv,40.4333442724803,19.252938100729782,0.5333812268329815
3,cv,23.038867224030096,13.296828390184357,0.3683738348213626
4,cv,32.75093037272824,21.39788139268475,0.5928044940020972
5,cv,32.16845801422451,20.45323198712482,0.566634033357158
test,test,31.04879294215148,19.139158701054814,0.5302290951703001
