fold,type,rmse,mae
1,cv,30.749377481216335,20.149074327311276
2,cv,41.633036777675336,19.90528799316417
3,cv,23.09024147876064,13.336193568314298
4,cv,32.80351443407529,21.28831736036181
5,cv,31.99629693220577,20.273668367435
test,test,30.306197098312058,17.955180149530765
