number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
28,35.764663191089234,2026-05-05 15:54:57.966455,2026-05-05 15:55:04.454461,0 days 00:00:06.488006,0.7421063481860344,64.86707890976457,0.003969409639818929,6,18,900,COMPLETE
29,37.118140823468266,2026-05-05 15:55:04.454461,2026-05-05 15:55:06.364043,0 days 00:00:01.909582,0.8643482536371757,50.53631256877832,0.029126102943857722,4,1,500,COMPLETE
30,36.1819331351431,2026-05-05 15:55:06.364043,2026-05-05 15:55:07.858141,0 days 00:00:01.494098,0.6809094453950516,78.68047250790248,0.015595885586943305,3,67,600,COMPLETE
31,35.73142977932451,2026-05-05 15:55:07.859186,2026-05-05 15:55:12.550603,0 days 00:00:04.691417,0.9282836311079519,81.2811510189886,0.012901638440481847,5,38,1100,COMPLETE
32,35.748637618197584,2026-05-05 15:55:12.550603,2026-05-05 15:55:16.728872,0 days 00:00:04.178269,0.9556903995481432,99.72684695225041,0.009921807753200998,5,29,900,COMPLETE
33,35.75349290596777,2026-05-05 15:55:16.729874,2026-05-05 15:55:20.750206,0 days 00:00:04.020332,0.8927120731933273,72.73615192544175,0.007784515841755236,4,13,1100,COMPLETE
34,35.66465879075962,2026-05-05 15:55:20.751207,2026-05-05 15:55:25.192181,0 days 00:00:04.440974,0.9003001864651294,90.39965494512856,0.0220426547969729,7,44,700,COMPLETE
35,35.81533557361354,2026-05-05 15:55:25.193181,2026-05-05 15:55:29.612685,0 days 00:00:04.419504,0.8526393332217262,98.1505480769002,0.02336835048370937,7,44,700,COMPLETE
36,36.04826695610721,2026-05-05 15:55:29.613685,2026-05-05 15:55:34.103341,0 days 00:00:04.489656,0.9023367271803981,91.46859939583977,0.037800625521049146,8,50,600,COMPLETE
37,36.385669929638716,2026-05-05 15:55:34.104342,2026-05-05 15:55:38.694618,0 days 00:00:04.590276,0.7791876060018047,35.83781476603434,0.005032247968194996,7,90,800,COMPLETE
38,35.71186513394004,2026-05-05 15:55:38.694618,2026-05-05 15:55:45.595529,0 days 00:00:06.900911,0.9690383220248775,60.96298705296805,0.007866268719179318,6,66,1300,COMPLETE
39,35.999343898758696,2026-05-05 15:55:45.596532,2026-05-05 15:55:47.283899,0 days 00:00:01.687367,0.5894515592782112,68.18520525437114,0.06657578202119703,7,38,300,COMPLETE
40,37.61346219447051,2026-05-05 15:55:47.283899,2026-05-05 15:55:57.581715,0 days 00:00:10.297816,0.626353930902016,90.41318373909446,0.0023484092271352786,8,60,900,COMPLETE
41,35.56684764681465,2026-05-05 15:55:57.581715,2026-05-05 15:56:01.785533,0 days 00:00:04.203818,0.8854063526254654,84.72241586267434,0.013155980977903136,5,36,1000,COMPLETE
42,35.931306454462785,2026-05-05 15:56:01.786533,2026-05-05 15:56:05.379694,0 days 00:00:03.593161,0.8886566069364702,74.98199628072811,0.014162891805149666,4,45,1100,COMPLETE
43,35.56534403764955,2026-05-05 15:56:05.379694,2026-05-05 15:56:12.490774,0 days 00:00:07.111080,0.8454180101277006,83.28486159819633,0.006169406965294332,6,24,1200,COMPLETE
44,35.524188990970146,2026-05-05 15:56:12.490774,2026-05-05 15:56:19.899966,0 days 00:00:07.409192,0.8090129384246337,82.35664900606666,0.005534400156635661,6,25,1200,COMPLETE
45,35.50104596114501,2026-05-05 15:56:19.899966,2026-05-05 15:56:27.781330,0 days 00:00:07.881364,0.8068239136667311,83.85711215173954,0.005903423186784161,6,25,1300,COMPLETE
46,35.530129609803375,2026-05-05 15:56:27.781330,2026-05-05 15:56:35.632657,0 days 00:00:07.851327,0.8067033402097786,83.84198606560459,0.00581634775645348,6,25,1300,COMPLETE
47,35.55032730251435,2026-05-05 15:56:35.633657,2026-05-05 15:56:44.571076,0 days 00:00:08.937419,0.8072347962563047,105.6686470499157,0.005017659308393251,6,26,1400,COMPLETE
48,37.19646671949071,2026-05-05 15:56:44.571076,2026-05-05 15:56:56.003492,0 days 00:00:11.432416,0.7273087218530568,104.86088090833925,0.0017416448691831101,6,7,1400,COMPLETE
49,35.54106054982052,2026-05-05 15:56:56.004524,2026-05-05 15:57:05.637467,0 days 00:00:09.632943,0.8106408414923404,95.20698537316643,0.005071535908901421,6,28,1400,COMPLETE
50,35.54902675480076,2026-05-05 15:57:05.637467,2026-05-05 15:57:14.395154,0 days 00:00:08.757687,0.8076158504779245,95.10271792128769,0.004676975755955823,6,28,1400,COMPLETE
51,35.54427279804172,2026-05-05 15:57:14.395154,2026-05-05 15:57:23.070409,0 days 00:00:08.675255,0.8035496698219767,95.75341894934627,0.004723918560200098,6,28,1400,COMPLETE
52,35.547066178520836,2026-05-05 15:57:23.071416,2026-05-05 15:57:36.766116,0 days 00:00:13.694700,0.7912001614547851,94.37705047560652,0.002909829867113357,7,30,1500,COMPLETE
53,35.62853020290744,2026-05-05 15:57:36.767116,2026-05-05 15:57:50.996379,0 days 00:00:14.229263,0.7695378176365486,101.13251803923681,0.0028535828033075267,7,21,1500,COMPLETE
54,35.56793256786289,2026-05-05 15:57:50.996379,2026-05-05 15:58:07.470268,0 days 00:00:16.473889,0.7471669831367891,95.03431157375496,0.003109990878588321,8,30,1300,COMPLETE
55,37.161022576686705,2026-05-05 15:58:07.470268,2026-05-05 15:58:22.368098,0 days 00:00:14.897830,0.7094715808986035,89.06729171664428,0.0013883934283570125,7,33,1500,COMPLETE
56,35.59734209989996,2026-05-05 15:58:22.369099,2026-05-05 15:58:46.152010,0 days 00:00:23.782911,0.789153442283427,109.66655411969855,0.0035660734860952807,9,21,1300,COMPLETE
57,35.98957835627654,2026-05-05 15:58:46.152010,2026-05-05 15:58:59.601223,0 days 00:00:13.449213,0.8298116676532314,83.56188299812615,0.002213514652941858,7,40,1400,COMPLETE
58,35.817824377809714,2026-05-05 15:58:59.602106,2026-05-05 15:59:08.566697,0 days 00:00:08.964591,0.7608422963067855,93.29642753527364,0.006323305891610275,6,13,1500,COMPLETE
59,36.39569055246754,2026-05-05 15:59:08.566697,2026-05-05 15:59:18.161877,0 days 00:00:09.595180,0.5114275238466653,80.75308123164328,0.0026455583105493424,7,54,1300,COMPLETE
60,35.5060837159325,2026-05-05 15:59:18.162878,2026-05-05 15:59:26.822153,0 days 00:00:08.659275,0.817937728023953,87.30032703512413,0.0042538858332754025,6,33,1400,COMPLETE
61,35.51583392455142,2026-05-05 15:59:26.837476,2026-05-05 15:59:35.038585,0 days 00:00:08.201109,0.7946694072283735,87.60382070940955,0.004151879219816693,6,32,1400,COMPLETE
62,35.505784913807915,2026-05-05 15:59:35.038585,2026-05-05 15:59:43.743644,0 days 00:00:08.705059,0.8131529762155973,101.90629151791128,0.004150783742408874,6,33,1400,COMPLETE
63,35.60853921780924,2026-05-05 15:59:43.743644,2026-05-05 15:59:51.570380,0 days 00:00:07.826736,0.8268566317406625,102.45849797059073,0.0039565050582004825,6,33,1200,COMPLETE
64,35.586952427646004,2026-05-05 15:59:51.571381,2026-05-05 15:59:59.496331,0 days 00:00:07.924950,0.8358110434940501,87.95874488770275,0.007175767745757902,6,24,1400,COMPLETE
65,36.95552605067438,2026-05-05 15:59:59.497333,2026-05-05 16:00:06.742665,0 days 00:00:07.245332,0.818912921041721,86.39614533953078,0.0018546229495534612,5,36,1300,COMPLETE
66,35.54538480713933,2026-05-05 16:00:06.742665,2026-05-05 16:00:12.783890,0 days 00:00:06.041225,0.7800521022981871,73.39626667688617,0.008960457833811277,6,42,1200,COMPLETE
67,35.66058132875014,2026-05-05 16:00:12.783890,2026-05-05 16:00:18.846662,0 days 00:00:06.062772,0.8763706253135536,69.17008585053381,0.0055374661341771065,5,20,1300,COMPLETE
68,35.528680285516636,2026-05-05 16:00:18.846662,2026-05-05 16:00:26.900963,0 days 00:00:08.054301,0.7567755024742007,79.67972121328465,0.004237070650633146,6,25,1400,COMPLETE
69,57.19249249272243,2026-05-05 16:00:26.901165,2026-05-05 16:00:27.826982,0 days 00:00:00.925817,0.7322348341561953,78.31786286411739,0.0035046994285588186,6,9,100,COMPLETE
70,39.74874743748107,2026-05-05 16:00:27.827983,2026-05-05 16:00:34.636754,0 days 00:00:06.808771,0.752234010100297,82.28339141942055,0.001198700463890534,5,25,1200,COMPLETE
71,35.84347821067933,2026-05-05 16:00:34.637780,2026-05-05 16:00:41.327325,0 days 00:00:06.689545,0.81617358015387,25.4476916534931,0.006144759269073427,6,27,1400,COMPLETE
72,35.57073775695666,2026-05-05 16:00:41.327325,2026-05-05 16:00:49.967597,0 days 00:00:08.640272,0.7979886397063252,87.03258695764796,0.003905370254516227,6,47,1500,COMPLETE
73,35.6804953711606,2026-05-05 16:00:49.968511,2026-05-05 16:00:58.529383,0 days 00:00:08.560872,0.7781670566189678,99.29647724636578,0.0042581099549308275,6,16,1300,COMPLETE
74,35.71168986202169,2026-05-05 16:00:58.530384,2026-05-05 16:01:06.254953,0 days 00:00:07.724569,0.7603015005498617,38.62918271831846,0.0033054625755852404,6,34,1400,COMPLETE
75,35.743807703284645,2026-05-05 16:01:06.255954,2026-05-05 16:01:11.936330,0 days 00:00:05.680376,0.7110064563909058,55.4789688084324,0.008860538176697427,5,22,1500,COMPLETE
76,39.28223955876415,2026-05-05 16:01:11.936330,2026-05-05 16:01:19.278715,0 days 00:00:07.342385,0.8186371023079989,80.51697825830963,0.23757547035246668,7,40,1300,COMPLETE
77,35.72338311906225,2026-05-05 16:01:19.278715,2026-05-05 16:01:29.470791,0 days 00:00:10.192076,0.8417756655822547,75.78790223876909,0.0025590100118579252,6,31,1400,COMPLETE
78,35.5461207149538,2026-05-05 16:01:29.471791,2026-05-05 16:01:35.367679,0 days 00:00:05.895888,0.7920829087915998,91.23212063850906,0.007049698790987611,5,19,1400,COMPLETE
79,35.449651914656464,2026-05-05 16:01:35.367679,2026-05-05 16:01:43.001060,0 days 00:00:07.633381,0.7707996417346185,101.48634361195028,0.005650984976656683,6,37,1300,COMPLETE
80,35.61796073745569,2026-05-05 16:01:43.003063,2026-05-05 16:01:50.422058,0 days 00:00:07.418995,0.682984627238368,46.53176553706002,0.005597884575406991,7,37,1200,COMPLETE
81,35.52988872789665,2026-05-05 16:01:50.422058,2026-05-05 16:01:58.281377,0 days 00:00:07.859319,0.7719041137248722,102.32497482421074,0.004537668972121865,6,31,1300,COMPLETE
82,35.55446232056281,2026-05-05 16:01:58.281377,2026-05-05 16:02:06.902932,0 days 00:00:08.621555,0.771860662123922,108.75296735139595,0.004355784340482948,6,32,1300,COMPLETE
83,36.841502397137035,2026-05-05 16:02:06.902932,2026-05-05 16:02:15.538074,0 days 00:00:08.635142,0.7354981750382372,101.72700638196119,0.0020053234260526864,6,25,1200,COMPLETE
84,35.72818015268977,2026-05-05 16:02:15.538074,2026-05-05 16:02:21.307000,0 days 00:00:05.768926,0.7569612015028627,32.59850360790472,0.00670150650820884,6,36,1300,COMPLETE
85,35.84733758641503,2026-05-05 16:02:21.307000,2026-05-05 16:02:26.191455,0 days 00:00:04.884455,0.7201450504567803,86.35341819473415,0.004385709862843761,5,23,1100,COMPLETE
86,35.57717258606339,2026-05-05 16:02:26.191749,2026-05-05 16:02:32.967308,0 days 00:00:06.775559,0.8560003909316246,104.58760181081483,0.00826045726616994,6,31,1300,COMPLETE
87,35.450985346253574,2026-05-05 16:02:32.967308,2026-05-05 16:02:42.987946,0 days 00:00:10.020638,0.7921785933833982,98.46333893851055,0.005791885949922522,7,27,1500,COMPLETE
88,35.637497859670944,2026-05-05 16:02:42.987946,2026-05-05 16:02:51.190222,0 days 00:00:08.202276,0.7436936776178515,99.57311760001708,0.01074133887240907,7,35,1500,COMPLETE
89,35.642857101358985,2026-05-05 16:02:51.191222,2026-05-05 16:03:02.565135,0 days 00:00:11.373913,0.7905499422777758,92.30258577953265,0.0032122310482973803,7,42,1500,COMPLETE
90,35.41786219220508,2026-05-05 16:03:02.566135,2026-05-05 16:03:11.825389,0 days 00:00:09.259254,0.7800843130754537,98.15564935322396,0.0051885589459698695,7,39,1400,COMPLETE
91,35.51957643208048,2026-05-05 16:03:11.825389,2026-05-05 16:03:20.664457,0 days 00:00:08.839068,0.7695303289678167,97.8028279454327,0.005572503734692708,7,47,1400,COMPLETE
92,35.50444592525098,2026-05-05 16:03:20.664964,2026-05-05 16:03:29.330972,0 days 00:00:08.666008,0.7970807782531569,98.75374617808319,0.005637828882968405,7,54,1400,COMPLETE
93,35.55584584663816,2026-05-05 16:03:29.330972,2026-05-05 16:03:41.539585,0 days 00:00:12.208613,0.7863525179527806,97.28371423363363,0.005491064440476866,7,48,1500,COMPLETE
94,35.61350875136701,2026-05-05 16:03:41.539585,2026-05-05 16:03:52.746378,0 days 00:00:11.206793,0.825185916648432,106.64678050084608,0.0074272616786941244,8,51,1400,COMPLETE
95,35.46224987980887,2026-05-05 16:03:52.746378,2026-05-05 16:04:03.964555,0 days 00:00:11.218177,0.8400082049684394,96.96775369054042,0.006466285788366964,8,56,1400,COMPLETE
96,35.536470819560364,2026-05-05 16:04:03.965557,2026-05-05 16:04:14.982468,0 days 00:00:11.016911,0.8405493258069854,97.68213165754743,0.0066568741809488905,8,57,1400,COMPLETE
97,35.7827965447425,2026-05-05 16:04:14.983505,2026-05-05 16:04:26.386472,0 days 00:00:11.402967,0.7952757353106237,91.91359082542992,0.009540136147177714,9,60,1500,COMPLETE
98,35.59411341804473,2026-05-05 16:04:26.387472,2026-05-05 16:04:39.965541,0 days 00:00:13.578069,0.7806988509750554,103.87395828400388,0.0036414920553712728,8,53,1400,COMPLETE
99,35.621907497314034,2026-05-05 16:04:39.965869,2026-05-05 16:04:56.201213,0 days 00:00:16.235344,0.8720323059244623,109.2257659284822,0.005076271281687092,9,63,1500,COMPLETE
100,35.47443034182431,2026-05-05 16:04:56.202213,2026-05-05 16:05:05.573445,0 days 00:00:09.371232,0.8214584233880146,89.21995846068634,0.006111919971865656,7,55,1400,COMPLETE
101,35.48890870505936,2026-05-05 16:05:05.573445,2026-05-05 16:05:15.613087,0 days 00:00:10.039642,0.8218216689981723,88.85909422512043,0.005946451102350014,7,55,1400,COMPLETE
102,35.58116595951106,2026-05-05 16:05:15.614350,2026-05-05 16:05:24.571939,0 days 00:00:08.957589,0.849002864495731,88.72423637991605,0.008191515461709901,7,55,1400,COMPLETE
103,35.63972667758124,2026-05-05 16:05:24.571939,2026-05-05 16:05:34.166203,0 days 00:00:09.594264,0.8183962405838138,93.67658286624327,0.006443708686560242,7,59,1500,COMPLETE
