fold,type,rmse,mae
1,cv,30.373606094544794,19.151214560875157
2,cv,39.3229478123331,19.567627516894397
3,cv,22.80197817802164,13.356099151469255
4,cv,32.84648672220479,21.194252748720686
5,cv,31.963333108660525,19.883051116892375
test,test,29.70346445554391,17.587378805351577
