number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
31,29.814727526846326,2026-03-15 11:47:59.531146,2026-03-15 11:48:02.932286,0 days 00:00:03.401140,0.6112848307195848,0.10495951327276852,7,800,41,COMPLETE
32,29.823052742832992,2026-03-15 11:48:02.932286,2026-03-15 11:48:06.368515,0 days 00:00:03.436229,0.5457414940420794,0.10887846158564543,7,800,43,COMPLETE
33,29.853434225023626,2026-03-15 11:48:06.368515,2026-03-15 11:48:09.101965,0 days 00:00:02.733450,0.6566869256383207,0.046120317293590694,6,700,37,COMPLETE
34,30.344960697749805,2026-03-15 11:48:09.102964,2026-03-15 11:48:12.348801,0 days 00:00:03.245837,0.5863241419721438,0.0261525767831864,7,800,30,COMPLETE
35,30.15170927802863,2026-03-15 11:48:12.348801,2026-03-15 11:48:17.326574,0 days 00:00:04.977773,0.7837968841768981,0.1927257410015613,8,1000,51,COMPLETE
36,43.334664419151316,2026-03-15 11:48:17.326574,2026-03-15 11:48:19.950158,0 days 00:00:02.623584,0.843586089641452,0.001093622872771479,4,900,58,COMPLETE
37,29.88861125441118,2026-03-15 11:48:19.952164,2026-03-15 11:48:23.690860,0 days 00:00:03.738696,0.7319559605021805,0.09384974047309998,9,700,46,COMPLETE
38,30.584121973250056,2026-03-15 11:48:23.692869,2026-03-15 11:48:25.539301,0 days 00:00:01.846432,0.5464568346913147,0.05734941891953414,6,600,20,COMPLETE
39,30.199767587149772,2026-03-15 11:48:25.539301,2026-03-15 11:48:26.838952,0 days 00:00:01.299651,0.6236064184494534,0.1375039893238576,3,800,38,COMPLETE
40,37.57523048637767,2026-03-15 11:48:26.838952,2026-03-15 11:48:30.388292,0 days 00:00:03.549340,0.5249780686944453,0.00357938584559646,8,400,63,COMPLETE
41,30.281544746594324,2026-03-15 11:48:30.390300,2026-03-15 11:48:32.988738,0 days 00:00:02.598438,0.5529382425251224,0.1806145511186468,6,700,51,COMPLETE
42,30.073538033291488,2026-03-15 11:48:32.990744,2026-03-15 11:48:36.227678,0 days 00:00:03.236934,0.5232487813360754,0.15236670038856454,7,700,49,COMPLETE
43,30.618669099486244,2026-03-15 11:48:36.227678,2026-03-15 11:48:38.550354,0 days 00:00:02.322676,0.5056283616267531,0.23995004524069785,5,800,53,COMPLETE
44,31.447322081026584,2026-03-15 11:48:38.552361,2026-03-15 11:48:41.792699,0 days 00:00:03.240338,0.6031856806637574,0.01341359106133997,6,700,43,COMPLETE
45,30.31476514308249,2026-03-15 11:48:41.792699,2026-03-15 11:48:46.284700,0 days 00:00:04.492001,0.9262329348054388,0.07083004008288912,7,900,57,COMPLETE
46,31.27696064340795,2026-03-15 11:48:46.284700,2026-03-15 11:48:46.960220,0 days 00:00:00.675520,0.5258340244073962,0.1102204143535334,6,100,53,COMPLETE
47,30.34221135284929,2026-03-15 11:48:46.960220,2026-03-15 11:48:48.426236,0 days 00:00:01.466016,0.5707882969088752,0.29263492241242883,5,500,61,COMPLETE
48,29.867621095279837,2026-03-15 11:48:48.426236,2026-03-15 11:48:51.740638,0 days 00:00:03.314402,0.6459644380235012,0.15874121979542333,7,800,35,COMPLETE
49,29.845438929154533,2026-03-15 11:48:51.740638,2026-03-15 11:48:55.092978,0 days 00:00:03.352340,0.6256950642480444,0.06948590788820486,8,600,49,COMPLETE
50,30.486786037720105,2026-03-15 11:48:55.094983,2026-03-15 11:48:58.142463,0 days 00:00:03.047480,0.5023478735964987,0.037075987585648736,6,800,43,COMPLETE
51,30.29324093590005,2026-03-15 11:48:58.142463,2026-03-15 11:49:01.155240,0 days 00:00:03.012777,0.6150313546311373,0.10688100901620175,7,700,40,COMPLETE
