fold,type,rmse,mae,rmae
1,cv,33.912673581727994,19.21758316872272,0.6966200867757546
2,cv,62.744383772148545,18.67662250646929,0.6770107498381848
3,cv,21.596743256365087,11.409045140825851,0.4135676139008924
4,cv,35.41104078890502,20.632547441422936,0.7479112676583365
5,cv,33.7123255596824,18.676192051006954,0.6769951462152478
test,test,29.04136344378961,15.226046277371928,0.5519304683565711
