number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
36,35.90258202428544,2026-05-05 17:38:53.747653,2026-05-05 17:38:57.278042,0 days 00:00:03.530389,0.9859943852943313,0.01022042023425057,6,33,600,COMPLETE
37,36.950372675859406,2026-05-05 17:38:57.278042,2026-05-05 17:39:05.779400,0 days 00:00:08.501358,0.9997786341294257,0.02215265709828895,8,13,800,COMPLETE
38,40.70357933813331,2026-05-05 17:39:05.779400,2026-05-05 17:39:10.108396,0 days 00:00:04.328996,0.8410606198938928,0.0033277351533696157,7,32,400,COMPLETE
39,36.500265453135704,2026-05-05 17:39:10.108396,2026-05-05 17:39:24.048803,0 days 00:00:13.940407,0.6023607093692869,0.006443396795584137,9,25,1200,COMPLETE
40,36.42456711484617,2026-05-05 17:39:24.049803,2026-05-05 17:39:27.408690,0 days 00:00:03.358887,0.6960103505393938,0.031157904573445507,5,54,1000,COMPLETE
41,35.84825142706948,2026-05-05 17:39:27.408690,2026-05-05 17:39:31.065111,0 days 00:00:03.656421,0.9121369668504751,0.01088742510413426,6,35,600,COMPLETE
42,35.88362453064025,2026-05-05 17:39:31.065111,2026-05-05 17:39:34.144932,0 days 00:00:03.079821,0.9147980978882702,0.016935643754828318,6,49,600,COMPLETE
43,35.95101157232509,2026-05-05 17:39:34.145932,2026-05-05 17:39:37.703439,0 days 00:00:03.557507,0.9102643722330641,0.018751396558562564,6,48,700,COMPLETE
44,35.77611064529603,2026-05-05 17:39:37.703439,2026-05-05 17:39:41.965085,0 days 00:00:04.261646,0.8942420206184439,0.013183129460940538,7,34,500,COMPLETE
45,36.24800964193088,2026-05-05 17:39:41.966085,2026-05-05 17:39:46.112447,0 days 00:00:04.146362,0.8966094096709191,0.01260185921668244,7,28,500,COMPLETE
46,44.456219480683465,2026-05-05 17:39:46.112447,2026-05-05 17:39:50.275537,0 days 00:00:04.163090,0.8452787829481997,0.004706039971322299,8,15,200,COMPLETE
47,36.00356470717933,2026-05-05 17:39:50.275537,2026-05-05 17:39:54.546144,0 days 00:00:04.270607,0.7729193752725998,0.0075341165637277455,7,34,500,COMPLETE
48,36.37476084677156,2026-05-05 17:39:54.547144,2026-05-05 17:39:57.319946,0 days 00:00:02.772802,0.7203172860713936,0.014114721279178013,7,23,300,COMPLETE
49,37.27411840018541,2026-05-05 17:39:57.319946,2026-05-05 17:40:03.090314,0 days 00:00:05.770368,0.7950295612424534,0.005529139042770659,8,33,400,COMPLETE
50,36.327708038881234,2026-05-05 17:40:03.090314,2026-05-05 17:40:06.011139,0 days 00:00:02.920825,0.8894042228965403,0.01933017314419558,6,77,600,COMPLETE
51,36.407481160291056,2026-05-05 17:40:06.012140,2026-05-05 17:40:08.895543,0 days 00:00:02.883403,0.9575736480225754,0.045231980753816486,5,48,700,COMPLETE
52,37.12054677553058,2026-05-05 17:40:08.895543,2026-05-05 17:40:19.438219,0 days 00:00:10.542676,0.9258382373498127,0.026883957904147784,6,4,900,COMPLETE
53,35.797156910709646,2026-05-05 17:40:19.439220,2026-05-05 17:40:23.549160,0 days 00:00:04.109940,0.8353132970033399,0.01638114095803917,7,41,500,COMPLETE
54,35.8853937576787,2026-05-05 17:40:23.549160,2026-05-05 17:40:27.854752,0 days 00:00:04.305592,0.828483481425871,0.012154715413884897,7,39,500,COMPLETE
55,35.74744745081948,2026-05-05 17:40:27.854752,2026-05-05 17:40:31.412296,0 days 00:00:03.557544,0.8322768424094866,0.015409493333146514,7,40,500,COMPLETE
56,35.89147648432832,2026-05-05 17:40:31.414970,2026-05-05 17:40:36.454094,0 days 00:00:05.039124,0.8591314163092308,0.016016919749440164,9,54,400,COMPLETE
57,36.44694579105014,2026-05-05 17:40:36.455095,2026-05-05 17:40:40.279973,0 days 00:00:03.824878,0.8065477990892487,0.008506005542295811,7,97,500,COMPLETE
58,36.15893103012856,2026-05-05 17:40:40.279973,2026-05-05 17:40:42.334789,0 days 00:00:02.054816,0.7483875790015323,0.020484531787729326,8,58,200,COMPLETE
59,35.90182548060095,2026-05-05 17:40:42.339808,2026-05-05 17:40:44.896709,0 days 00:00:02.556901,0.8342669527075098,0.01434782979944616,7,37,300,COMPLETE
60,36.24964883098777,2026-05-05 17:40:44.897714,2026-05-05 17:40:48.899162,0 days 00:00:04.001448,0.8570401173010845,0.03422141875449072,8,42,600,COMPLETE
61,35.76389733265332,2026-05-05 17:40:48.899162,2026-05-05 17:40:52.489174,0 days 00:00:03.590012,0.8276209549471713,0.01208969765147203,7,41,500,COMPLETE
62,35.89295811563013,2026-05-05 17:40:52.489174,2026-05-05 17:40:56.216682,0 days 00:00:03.727508,0.80004072775612,0.011291606357418202,7,51,600,COMPLETE
63,35.83699400623773,2026-05-05 17:40:56.218014,2026-05-05 17:41:00.136909,0 days 00:00:03.918895,0.7836451665242894,0.009140306088790276,7,46,500,COMPLETE
64,36.138477962959165,2026-05-05 17:41:00.136909,2026-05-05 17:41:06.164779,0 days 00:00:06.027870,0.7803444988543001,0.00895105220521872,8,30,500,COMPLETE
65,36.48448310160135,2026-05-05 17:41:06.164779,2026-05-05 17:41:09.776095,0 days 00:00:03.611316,0.7256030356726236,0.007355196143987016,7,40,400,COMPLETE
66,36.24258215879487,2026-05-05 17:41:09.776095,2026-05-05 17:41:17.959396,0 days 00:00:08.183301,0.8162759174783738,0.005855262846360808,7,92,1400,COMPLETE
67,41.063003149423636,2026-05-05 17:41:17.960430,2026-05-05 17:41:22.782514,0 days 00:00:04.822084,0.8850096315069246,0.004087865304334887,8,45,300,COMPLETE
68,35.842322795972066,2026-05-05 17:41:22.783514,2026-05-05 17:41:26.555927,0 days 00:00:03.772413,0.7637604935178799,0.010190345474879793,7,35,500,COMPLETE
69,35.737607589085336,2026-05-05 17:41:26.555927,2026-05-05 17:41:29.059840,0 days 00:00:02.503913,0.7622103426738857,0.022414884669759525,7,46,400,COMPLETE
70,35.61952658171738,2026-05-05 17:41:29.059840,2026-05-05 17:41:31.675156,0 days 00:00:02.615316,0.7901234252988582,0.021523187083248477,7,46,400,COMPLETE
71,36.428788831187234,2026-05-05 17:41:31.677160,2026-05-05 17:41:33.600152,0 days 00:00:01.922992,0.7869273615354329,0.014702542204277035,7,46,200,COMPLETE
72,36.11905859767845,2026-05-05 17:41:33.600152,2026-05-05 17:41:36.109879,0 days 00:00:02.509727,0.7400848434299299,0.020370906724465444,7,62,400,COMPLETE
73,36.058288254382845,2026-05-05 17:41:36.109879,2026-05-05 17:41:38.085340,0 days 00:00:01.975461,0.7055621181869234,0.024889466194524652,7,53,300,COMPLETE
74,37.005525558951106,2026-05-05 17:41:38.085340,2026-05-05 17:41:44.800120,0 days 00:00:06.714780,0.8256592009397231,0.039482282206894335,8,41,1100,COMPLETE
75,36.247470112985226,2026-05-05 17:41:44.804125,2026-05-05 17:41:47.052428,0 days 00:00:02.248303,0.7597754887137782,0.029848557575157524,7,56,400,COMPLETE
76,35.820176310450634,2026-05-05 17:41:47.053428,2026-05-05 17:41:50.099767,0 days 00:00:03.046339,0.8055740091506491,0.02344689545411942,7,47,500,COMPLETE
77,36.09896343966499,2026-05-05 17:41:50.099767,2026-05-05 17:41:52.442534,0 days 00:00:02.342767,0.811527354759109,0.05113663463562783,8,37,300,COMPLETE
78,36.948452047170484,2026-05-05 17:41:52.442745,2026-05-05 17:41:54.682730,0 days 00:00:02.239985,0.8446452116752313,0.08900848811055571,7,51,400,COMPLETE
79,35.747883386673934,2026-05-05 17:41:54.682730,2026-05-05 17:41:56.939752,0 days 00:00:02.257022,0.7959988703254248,0.022819529505608272,8,43,200,COMPLETE
80,36.32565881862767,2026-05-05 17:41:56.940753,2026-05-05 17:42:00.692128,0 days 00:00:03.751375,0.768844488592496,0.01745763084920004,9,29,200,COMPLETE
81,36.82172836087043,2026-05-05 17:42:00.692128,2026-05-05 17:42:02.244773,0 days 00:00:01.552645,0.7948381035538556,0.02430323727951116,8,42,100,COMPLETE
82,35.74795218722524,2026-05-05 17:42:02.244773,2026-05-05 17:42:05.767303,0 days 00:00:03.522530,0.8251813386521527,0.0131151310820969,7,46,500,COMPLETE
83,40.29341638188568,2026-05-05 17:42:05.767303,2026-05-05 17:42:08.440213,0 days 00:00:02.672910,0.8255332681152289,0.0135455499644309,10,44,100,COMPLETE
84,35.81809027343036,2026-05-05 17:42:08.440213,2026-05-05 17:42:12.286041,0 days 00:00:03.845828,0.8553411894211728,0.017801144095290163,8,39,400,COMPLETE
85,51.54358848677153,2026-05-05 17:42:12.286041,2026-05-05 17:42:16.241038,0 days 00:00:03.954997,0.843966110860937,0.0010224981427797385,6,42,500,COMPLETE
86,36.067587726179,2026-05-05 17:42:16.241038,2026-05-05 17:42:18.149106,0 days 00:00:01.908068,0.873467220778052,0.028241193456946263,7,31,200,COMPLETE
87,35.78545482028047,2026-05-05 17:42:18.149106,2026-05-05 17:42:22.485042,0 days 00:00:04.335936,0.8189198365648805,0.012004281459180454,7,50,600,COMPLETE
88,36.03435166730405,2026-05-05 17:42:22.486046,2026-05-05 17:42:25.937281,0 days 00:00:03.451235,0.7510208179178236,0.0217283668859422,6,50,800,COMPLETE
89,36.01872904471652,2026-05-05 17:42:25.937281,2026-05-05 17:42:32.437567,0 days 00:00:06.500286,0.6751024097593196,0.011502203680197602,8,56,700,COMPLETE
90,36.27987486057656,2026-05-05 17:42:32.437567,2026-05-05 17:42:37.032887,0 days 00:00:04.595320,0.817565729378841,0.03732468316850005,7,36,600,COMPLETE
91,35.88012941002335,2026-05-05 17:42:37.032887,2026-05-05 17:42:39.982683,0 days 00:00:02.949796,0.7918501237328798,0.015703061070218752,7,39,400,COMPLETE
92,35.72248860322845,2026-05-05 17:42:39.982990,2026-05-05 17:42:43.821640,0 days 00:00:03.838650,0.8008079008337823,0.01234685860577084,7,47,600,COMPLETE
93,35.715775689088765,2026-05-05 17:42:43.821640,2026-05-05 17:42:48.204903,0 days 00:00:04.383263,0.7763859488623446,0.012450585361852631,7,47,600,COMPLETE
94,35.76360066335424,2026-05-05 17:42:48.204903,2026-05-05 17:42:51.619757,0 days 00:00:03.414854,0.7726229669344129,0.013563005477789445,6,44,700,COMPLETE
95,35.79562244037134,2026-05-05 17:42:51.619757,2026-05-05 17:42:54.756874,0 days 00:00:03.137117,0.774732123272952,0.019001472274946953,6,47,700,COMPLETE
96,35.82816884252287,2026-05-05 17:42:54.756874,2026-05-05 17:42:59.160234,0 days 00:00:04.403360,0.751988314877024,0.007593314767613753,6,43,800,COMPLETE
97,36.015449241978686,2026-05-05 17:42:59.160234,2026-05-05 17:43:03.226244,0 days 00:00:04.066010,0.7399220649784823,0.01383914337965025,6,52,900,COMPLETE
98,35.73813073972702,2026-05-05 17:43:03.227248,2026-05-05 17:43:08.027111,0 days 00:00:04.799863,0.8019431747089966,0.009862176211549058,7,45,700,COMPLETE
99,36.77338294414956,2026-05-05 17:43:08.027111,2026-05-05 17:43:09.705200,0 days 00:00:01.678089,0.8011482321390317,0.011001480824650809,3,48,700,COMPLETE
100,35.85085057031737,2026-05-05 17:43:09.705200,2026-05-05 17:43:13.870770,0 days 00:00:04.165570,0.7767044734028375,0.00832111730898025,6,45,700,COMPLETE
101,35.98492252759391,2026-05-05 17:43:13.870770,2026-05-05 17:43:19.115574,0 days 00:00:05.244804,0.7913717288578955,0.009877512520349255,7,55,800,COMPLETE
