fold,type,rmse,mae
1,cv,30.409866361603473,19.044677464961257
2,cv,39.94314622399969,20.902218812444545
3,cv,22.916640272109607,13.486482892678925
4,cv,32.874879901919634,21.81360129564382
5,cv,31.877737236097204,19.886460048381355
test,test,30.28275151943514,17.822165823701642
