loss_function,best_rmse,n_estimators,max_depth,learning_rate,min_child_weight,gamma,reg_alpha,reg_lambda,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,booster
regression,30.13097231102417,277,14,0.27174074152409144,8,3.1015453170509257,1.5650629356089577e-08,0.0024249619599562224,0.9320923897502034,0.9880652570132578,0.6480785711490453,0.8949248013886126,gbtree
regression_l1,33.19104253183628,200,11,0.2944600272232732,10,2.2005359536480777,2.2302507271387797e-06,4.184377332177911e-07,0.9558130598773067,0.9213634166655046,0.6259527770346226,0.8663082447031928,gbtree
huber,37.80230111694221,326,15,0.18144754859372778,9,2.814634545622888,2.33598864278075e-08,0.05366149238601067,0.8214392782491962,0.7886731496953889,0.944588075146844,0.953086945810414,dart
