loss_function,best_rmse,learning_rate,num_leaves,feature_fraction,max_depth,n_estimators,min_child_samples,subsample,huber_alpha,fair_c
regression,27.72714853096439,0.052187455056378854,233,0.9064998834489805,32,255,38,0.958348285791841,,
regression_l1,27.198621283294692,0.2035368943011306,99,0.9962922244185644,18,450,66,0.5421850741031257,,
huber,25.766210453118315,0.13063879068357004,104,0.8374988874155619,26,399,5,0.9876160572428914,13.707098711654915,
fair,31.59665780360739,0.010045486791972525,241,0.852881739982343,41,500,95,0.5266341846822462,,2.2874198460971376
