fold,type,rmse,mae
1,cv,30.13575294166891,19.018610231265907
2,cv,39.434832196332636,18.780026732553228
3,cv,23.192765174023865,13.505909082184457
4,cv,32.92320772068084,21.37470053343762
5,cv,31.872339510657575,19.79734914416188
test,test,30.614770663992825,19.331919863402145
