fold,actual,pred,residual
1,85.0,80.34318,4.656822204589844
1,81.98,76.93193,5.0480694580078165
1,79.96,70.75762,9.202378234863275
1,76.0,62.098698,13.901302337646484
1,75.99,64.66786,11.322138061523432
1,74.64,68.54285,6.097153320312501
1,69.44,78.27993,-8.839930114746096
1,60.67,70.37162,-9.701620178222655
1,36.79,58.95333,-22.163330993652345
1,0.0,36.798786,-36.79878616333008
1,-3.08,7.1057463,-10.185746269226074
1,-10.06,-2.082657,-7.977342901229859
1,-10.03,0.21395065,-10.243950648903846
1,-9.91,-2.3467908,-7.563209209442139
1,-10.0,-2.5177183,-7.482281684875488
1,-4.91,43.244045,-48.154045257568356
1,-5.04,1.8177387,-6.857738652229309
1,-0.06,3.8256407,-3.8856406784057618
1,50.0,18.532673,31.467327117919922
1,72.9,53.359802,19.540197753906256
1,105.42,72.027466,33.3925341796875
1,99.34,83.76924,15.570758666992191
1,82.29,79.66401,2.625990905761725
1,69.5,69.74335,-0.24334716796875
1,12.38,64.66951,-52.28950988769531
1,4.08,37.93597,-33.855970306396486
1,4.07,22.568079,-18.498078994750976
1,4.09,17.677961,-13.587961349487305
1,53.21,25.07181,28.138190231323243
1,62.56,56.51489,6.045111236572268
1,66.66,79.60404,-12.94404205322266
1,58.71,84.1345,-25.424498596191405
1,29.92,71.054375,-41.13437469482422
1,4.03,42.976395,-38.94639465332031
1,3.49,19.370426,-15.880426177978515
1,2.3,11.227481,-8.927480888366699
1,2.1,21.67802,-19.57802047729492
1,4.03,16.984922,-12.954922409057616
1,4.06,23.787117,-19.727117004394533
1,4.01,24.557734,-20.547733535766604
1,8.93,29.546503,-20.616503067016602
1,119.05,37.8195,81.23050003051758
1,79.78,92.867,-13.086996765136718
1,114.96,87.91221,27.047791442871087
1,119.01,101.83758,17.172422180175786
1,95.07,100.86206,-5.792060546875007
1,95.05,84.131096,10.918904113769528
1,77.27,77.74479,-0.47478912353516023
1,75.02,67.10988,7.9101214599609335
1,71.05,68.59681,2.453190612792966
1,68.9,67.455315,1.444685363769537
1,68.93,64.64812,4.281882934570319
1,74.84,76.4211,-1.581096801757809
1,84.49,90.036285,-5.54628540039063
1,109.12,105.95786,3.1621371459960983
1,118.99,112.21238,6.777620544433589
1,108.64,107.04168,1.5983206176757818
1,90.06,91.6115,-1.5515036010742165
1,82.37,78.87469,3.495312805175786
1,71.64,71.24889,0.3911062622070318
1,67.72,65.70772,2.0122821044921864
1,60.54,64.04288,-3.502877197265626
1,62.19,62.36891,-0.17891174316406477
1,71.27,79.02911,-7.759113769531254
1,78.93,88.55083,-9.62082702636718
1,91.86,104.18175,-12.321747436523438
1,95.62,109.23964,-13.619639282226558
1,121.9,111.674576,10.225424194335943
1,150.85,122.2111,28.638902282714838
1,122.75,127.07168,-4.321678161621094
1,94.97,112.33105,-17.36104705810547
1,87.5,88.34884,-0.8488388061523438
1,85.92,80.02953,5.890466613769533
1,81.42,81.09534,0.3246630859375017
1,74.2,77.7168,-3.516796874999997
1,79.79,75.89886,3.8911428833007875
1,88.57,89.993774,-1.4237744140625068
1,91.69,100.70833,-9.018328247070315
1,113.84,109.36095,4.479053344726566
1,118.55,120.544785,-1.9947845458984403
1,104.18,114.22571,-10.045708007812493
1,86.41,98.08904,-11.679042663574222
1,66.92,82.105774,-15.185773925781248
1,47.93,69.71146,-21.781456298828125
1,32.4,68.06089,-35.66089019775391
1,28.49,53.019726,-24.52972579956055
1,49.45,48.13915,1.3108512878417997
1,77.13,135.60895,-58.478947753906255
1,19.67,72.52287,-52.852872924804686
1,82.39,48.442196,33.947804107666016
1,82.4,75.24548,7.154516601562506
1,119.03,99.899414,19.1305859375
1,88.18,120.16191,-31.98191101074218
1,82.4,98.015114,-15.6151138305664
1,95.09,81.65244,13.437557067871097
1,91.76,80.735794,11.024205932617193
1,84.15,84.77515,-0.6251464843749943
1,74.3,84.4574,-10.157397460937503
1,70.1,85.934784,-15.83478393554688
1,66.56,80.36476,-13.80476135253906
1,67.68,81.90455,-14.224548645019524
1,79.97,87.86908,-7.899079589843751
1,96.26,106.92674,-10.666742553710932
1,107.88,115.327545,-7.4475451660156295
1,99.07,109.2749,-10.204902343750007
1,87.3,91.19475,-3.8947479248046903
1,68.19,83.35203,-15.162027893066409
1,59.92,71.312935,-11.39293487548828
1,39.32,73.331566,-34.01156585693359
1,9.35,63.907578,-54.557577514648436
1,15.28,40.69153,-25.4115283203125
1,77.04,37.357586,39.682414093017584
1,67.38,72.72589,-5.3458911132812545
