fold,type,rmse,mae
1,cv,30.54557247427855,18.93639620997312
2,cv,44.10798555531431,19.931126867160252
3,cv,24.07892002743475,14.830367453242621
4,cv,31.439873166220508,20.970100843580713
5,cv,31.555397558964685,20.641970791760635
test,test,30.671120882001507,19.19911072381926
