fold,type,rmse,mae
1,cv,29.647637747448382,18.090208624645534
2,cv,44.52308449776697,20.796749168258724
3,cv,22.91955908455225,13.546443035795763
4,cv,31.110719668704405,20.703356836127586
5,cv,31.61591352559271,20.476713045420567
test,test,30.85147462900338,19.048264496683995
