fold,type,rmse,mae,rmae
1,cv,28.841633757089102,16.158904123040454,0.6261608498620614
2,cv,57.61257056012764,16.635871408072937,0.6446434300097147
3,cv,19.081348936154388,11.035952639783721,0.4276454288822279
4,cv,27.228677127481227,17.306237151593816,0.6706202401006248
5,cv,28.8096823904701,16.92063447008213,0.6556780570833884
test,test,24.638622498225494,13.618383998419205,0.5277151738303386
