number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
28,35.82755619316849,2026-05-05 13:28:34.256998,2026-05-05 13:28:39.389545,0 days 00:00:05.132547,49.29687817061722,0.7501595164652165,0.005974272800687798,9,39,910,65,COMPLETE
29,39.93125091447568,2026-05-05 13:28:39.390428,2026-05-05 13:28:45.429547,0 days 00:00:06.039119,89.82910165765459,0.666146177698832,0.0027037566482953804,10,30,649,103,COMPLETE
30,38.66287390606268,2026-05-05 13:28:45.430546,2026-05-05 13:28:47.362034,0 days 00:00:01.931488,39.12383487642766,0.8294353662298368,0.19042830796280563,4,18,1263,110,COMPLETE
31,35.51846924332883,2026-05-05 13:28:47.362034,2026-05-05 13:28:51.616743,0 days 00:00:04.254709,74.42214386904209,0.572005732623654,0.008250241833491241,8,33,1032,79,COMPLETE
32,35.81197049014125,2026-05-05 13:28:51.617744,2026-05-05 13:28:54.348706,0 days 00:00:02.730962,99.05717129258656,0.5807828772900014,0.018670643118526727,7,32,1012,80,COMPLETE
33,35.71660648654396,2026-05-05 13:28:54.349185,2026-05-05 13:28:58.548637,0 days 00:00:04.199452,79.79738330486762,0.557411323368991,0.008461284280453549,8,44,1077,93,COMPLETE
34,35.50322845990543,2026-05-05 13:28:58.548637,2026-05-05 13:29:01.860878,0 days 00:00:03.312241,57.65658128598872,0.6016226110990606,0.0129307356075552,9,35,770,68,COMPLETE
35,35.92133752784923,2026-05-05 13:29:01.860878,2026-05-05 13:29:03.937134,0 days 00:00:02.076256,58.70034790018483,0.45733008311694234,0.013682096356299722,9,26,467,51,COMPLETE
36,35.60367270437901,2026-05-05 13:29:03.937134,2026-05-05 13:29:07.152130,0 days 00:00:03.214996,64.14770225170967,0.5878165445994675,0.01480257032910572,9,35,787,69,COMPLETE
37,38.81333847971242,2026-05-05 13:29:07.152130,2026-05-05 13:29:10.978226,0 days 00:00:03.826096,51.64782697228923,0.5385371909409569,0.00473680839839162,10,14,634,56,COMPLETE
38,36.218709033868535,2026-05-05 13:29:10.978226,2026-05-05 13:29:12.660696,0 days 00:00:01.682470,68.95521074118903,0.7154878517991891,0.040892490647216576,8,6,319,64,COMPLETE
39,35.55471105759058,2026-05-05 13:29:12.660696,2026-05-05 13:29:14.457124,0 days 00:00:01.796428,44.5102073326757,0.7988730375451216,0.023744374331848315,9,50,480,44,COMPLETE
40,50.34143248769574,2026-05-05 13:29:14.457124,2026-05-05 13:29:16.239304,0 days 00:00:01.782180,55.45585891666681,0.6516522879838824,0.0032949344730118053,8,24,268,59,COMPLETE
41,35.58452479452512,2026-05-05 13:29:16.239304,2026-05-05 13:29:18.054052,0 days 00:00:01.814748,43.4888599994921,0.8657775575715063,0.020603341734798115,9,53,441,42,COMPLETE
