fold,type,rmse,mae
1,cv,29.65328591454637,18.773409380359873
2,cv,46.5823096784256,23.20899655823591
3,cv,22.359919294581115,13.329400573738194
4,cv,31.392498159376146,20.838207085534336
5,cv,32.159391868852296,21.599039135842936
test,test,29.663198022958532,18.710852833129387
