utc,gas_lag_1d,gas_lag_2d,gas_lag_7d,gas_lag_14d,gas_lag_30d,gas_rolling_mean_7d,gas_rolling_mean_14d,gas_rolling_mean_30d
2023-01-15 00:00:00,61.69266666666667,64.812,72.71266666666668,76.783,115.451,68.60917063492063,70.50566617063492,82.79788171296296
2023-01-15 01:00:00,61.562694444444446,64.68202777777778,72.7788888888889,76.79275,115.35505555555555,68.55186789021164,70.46103505291005,82.69732689043211
2023-01-15 02:00:00,61.43272222222222,64.55205555555555,72.84511111111112,76.8025,115.25911111111111,68.49339732142857,70.41598809523809,82.597709375
2023-01-15 03:00:00,61.302749999999996,64.42208333333333,72.91133333333335,76.81224999999999,115.16316666666665,68.43375892857144,70.37052529761904,82.49902916666666
2023-01-15 04:00:00,61.172777777777775,64.29211111111111,72.97755555555557,76.822,115.06722222222221,68.37295271164022,70.3246466600529,82.4012862654321
2023-01-15 05:00:00,61.04280555555555,64.16213888888889,73.04377777777779,76.83175,114.97127777777777,68.31097867063492,70.27835218253969,82.3044806712963
2023-01-15 06:00:00,60.91283333333333,64.03216666666667,73.11000000000001,76.8415,114.87533333333333,68.24783680555556,70.23164186507935,82.20861238425927
2023-01-15 07:00:00,60.78286111111111,63.90219444444444,73.17622222222224,76.85125,114.77938888888889,68.18352711640212,70.18451570767195,82.11368140432099
2023-01-15 08:00:00,60.65288888888889,63.77222222222222,73.24244444444444,76.86099999999999,114.68344444444443,68.11804960317461,70.13697371031746,82.01968773148148
2023-01-15 09:00:00,60.52291666666667,63.64225,73.30866666666667,76.87075,114.58749999999999,68.05140426587302,70.08901587301587,81.92663136574075
2023-01-15 10:00:00,60.392944444444446,63.512277777777776,73.37488888888889,76.8805,114.49155555555555,67.98359110449735,70.04064219576719,81.83451230709876
2023-01-15 11:00:00,60.262972222222224,63.382305555555554,73.44111111111111,76.89025,114.39561111111111,67.91461011904762,69.99185267857143,81.74333055555554
2023-01-15 12:00:00,60.132999999999996,63.25233333333333,73.50733333333334,76.89999999999999,114.29966666666667,67.84446130952381,69.94264732142857,81.65308611111111
2023-01-15 13:00:00,60.003027777777774,63.12236111111111,73.57355555555556,76.90975,114.20372222222221,67.77314467592593,69.89302612433863,81.56377897376544
2023-01-15 14:00:00,59.87305555555555,62.99238888888889,73.63977777777778,76.9195,114.10777777777777,67.70066021825397,69.84298908730159,81.47540914351852
2023-01-15 15:00:00,59.74308333333333,62.86241666666667,73.706,76.92925,114.01183333333333,67.62700793650794,69.79253621031746,81.38797662037038
2023-01-15 16:00:00,59.61311111111111,62.73244444444444,73.77222222222223,76.939,113.91588888888889,67.55218783068783,69.74166749338625,81.301481404321
2023-01-15 17:00:00,59.48313888888889,62.60247222222222,73.83844444444445,76.94874999999999,113.81994444444445,67.47619990079365,69.69038293650793,81.21592349537036
2023-01-15 18:00:00,59.35316666666667,62.4725,73.90466666666667,76.9585,113.72399999999999,67.39904414682539,69.63868253968253,81.13130289351852
2023-01-15 19:00:00,59.223194444444445,62.342527777777775,73.9708888888889,76.96825,113.62805555555555,67.32072056878307,69.58656630291006,81.04761959876544
2023-01-15 20:00:00,59.093222222222224,62.212555555555554,74.03711111111112,76.978,113.5321111111111,67.24122916666667,69.53403422619047,80.96487361111112
2023-01-15 21:00:00,58.96325,62.08258333333333,74.10333333333334,76.98774999999999,113.43616666666667,67.1605699404762,69.48108630952382,80.88306493055556
2023-01-15 22:00:00,58.83327777777778,61.95261111111111,74.16955555555556,76.9975,113.34022222222222,67.07874289021164,69.42772255291005,80.80219355709878
2023-01-15 23:00:00,58.70330555555555,61.82263888888889,74.23577777777778,77.00725,113.24427777777778,66.99574801587303,69.3739429563492,80.72225949074074
2023-01-16 00:00:00,58.57333333333333,61.69266666666667,74.302,77.017,113.14833333333333,66.91158531746031,69.31974751984127,80.64326273148149
2023-01-16 01:00:00,58.44336111111111,61.562694444444446,74.12570833333334,76.82104166666666,113.05238888888888,66.82625479497354,69.26513624338625,80.56421871141976
2023-01-16 02:00:00,58.31338888888889,61.43272222222222,73.94941666666668,76.62508333333332,112.95644444444444,66.73975644841269,69.21010912698414,80.48512743055556
2023-01-16 03:00:00,58.183416666666666,61.302749999999996,73.77312500000001,76.429125,112.8605,66.65209027777777,69.15466617063491,80.40598888888888
2023-01-16 04:00:00,58.053444444444445,61.172777777777775,73.59683333333334,76.23316666666666,112.76455555555556,66.56325628306878,69.09880737433862,80.32680308641976
2023-01-16 05:00:00,57.92347222222222,61.04280555555555,73.42054166666667,76.03720833333333,112.6686111111111,66.47325446428572,69.04253273809525,80.24757002314816
2023-01-16 06:00:00,57.7935,60.91283333333333,73.24425000000001,75.84125,112.57266666666666,66.38208482142856,68.98584226190476,80.16828969907408
2023-01-16 07:00:00,57.66352777777778,60.78286111111111,73.06795833333334,75.64529166666667,112.47672222222222,66.28974735449735,68.9287359457672,80.08896211419753
2023-01-16 08:00:00,57.53355555555555,60.65288888888889,72.89166666666667,75.44933333333333,112.38077777777778,66.19624206349206,68.87121378968254,80.00958726851852
2023-01-16 09:00:00,57.40358333333333,60.52291666666667,72.71537500000001,75.25337499999999,112.28483333333334,66.10156894841269,68.81327579365079,79.93016516203704
2023-01-16 10:00:00,57.27361111111111,60.392944444444446,72.53908333333334,75.05741666666665,112.18888888888888,66.00572800925927,68.75492195767195,79.8506957947531
2023-01-16 11:00:00,57.14363888888889,60.262972222222224,72.36279166666667,74.86145833333333,112.09294444444444,65.90871924603175,68.69615228174604,79.77117916666667
2023-01-16 12:00:00,57.013666666666666,60.132999999999996,72.1865,74.6655,111.997,65.81054265873016,68.63696676587301,79.69161527777779
2023-01-16 13:00:00,56.883694444444444,60.003027777777774,72.01020833333334,74.46954166666666,111.90105555555556,65.71119824735449,68.5773654100529,79.61200412808643
2023-01-16 14:00:00,56.75372222222222,59.87305555555555,71.83391666666667,74.27358333333333,111.80511111111112,65.61068601190476,68.51734821428572,79.53234571759259
2023-01-16 15:00:00,56.62375,59.74308333333333,71.657625,74.077625,111.70916666666666,65.50900595238096,68.45691517857142,79.4526400462963
2023-01-16 16:00:00,56.49377777777778,59.61311111111111,71.48133333333334,73.88166666666666,111.61322222222222,65.40615806878307,68.39606630291006,79.37288711419752
2023-01-16 17:00:00,56.36380555555556,59.48313888888889,71.30504166666667,73.68570833333332,111.51727777777778,65.30214236111111,68.3348015873016,79.29308692129631
2023-01-16 18:00:00,56.23383333333334,59.35316666666667,71.12875,73.48974999999999,111.42133333333334,65.19695882936507,68.27312103174603,79.2132394675926
2023-01-16 19:00:00,56.103861111111115,59.223194444444445,70.95245833333334,73.29379166666666,111.3253888888889,65.09060747354496,68.21102463624338,79.13334475308642
2023-01-16 20:00:00,55.97388888888889,59.093222222222224,70.77616666666667,73.09783333333333,111.22944444444444,64.9830882936508,68.14851240079365,79.05340277777778
