"Date","Price","Open","High","Low","Vol.","Change %"
"08/27/2025","32.551","33.165","33.360","32.235","104.56K","-2.72%"
"08/26/2025","33.460","33.795","33.795","33.240","80.18K","-0.93%"
"08/25/2025","33.774","33.280","33.905","32.860","39.28K","0.60%"
"08/22/2025","33.573","33.065","33.685","33.050","94.97K","1.20%"
"08/21/2025","33.175","32.080","33.400","31.605","88.12K","3.98%"
"08/20/2025","31.906","31.300","32.300","31.015","74.47K","2.17%"
"08/19/2025","31.227","30.820","31.430","30.590","62.69K","-0.14%"
"08/18/2025","31.272","31.000","31.460","30.300","81.75K","0.78%"
"08/15/2025","31.031","32.095","32.380","30.760","81.67K","-3.45%"
"08/14/2025","32.141","32.875","32.880","31.850","74.94K","-1.41%"
"08/13/2025","32.600","32.350","32.850","32.350","56.48K","0.59%"
"08/12/2025","32.409","33.200","33.375","32.245","61.59K","-1.79%"
"08/11/2025","32.999","32.200","33.155","32.140","63.04K","1.70%"
"08/08/2025","32.446","32.865","33.435","32.110","95.32K","-1.53%"
"08/07/2025","32.951","33.010","33.255","32.775","59.08K","-0.92%"
"08/06/2025","33.257","34.245","34.295","33.110","79.46K","-3.34%"
"08/05/2025","34.406","34.140","34.485","33.765","61.01K","0.36%"
"08/04/2025","34.283","33.610","34.380","33.430","66.95K","0.92%"
"08/01/2025","33.972","35.350","35.400","33.740","76.89K","-3.70%"
"07/31/2025","35.279","35.095","35.490","34.560","69.95K","2.15%"
"07/30/2025","34.537","34.500","35.000","33.500","42.79K","1.27%"
"07/29/2025","34.103","33.010","34.300","33.005","70.77K","3.66%"
"07/28/2025","32.899","32.550","33.120","31.985","77.51K","1.23%"
"07/25/2025","32.499","32.490","32.785","31.905","75.56K","0.44%"
"07/24/2025","32.358","32.820","33.200","32.095","79.50K","-1.02%"
"07/23/2025","32.690","33.350","33.730","32.555","77.51K","-1.27%"
"07/22/2025","33.111","33.295","33.495","32.900","75.59K","-0.14%"
"07/21/2025","33.159","33.500","34.000","33.110","72.53K","-1.30%"
