fold,type,rmse,mae
1,cv,29.817159741206975,18.427474532635227
2,cv,41.70370453308868,20.390198847855032
3,cv,23.084050208508287,13.505150438364673
4,cv,32.99412189147125,21.636597414809952
5,cv,31.896622763758714,20.1763760815882
test,test,29.752658036353836,17.57263607762271
