fold,type,rmse,mae,rmae
1,cv,30.3939568422423,19.10981669811594,1.1161895395986738
2,cv,44.74908220239888,19.584015125351332,1.143887101147052
3,cv,22.567972753840625,13.257793597601509,0.7743774189765016
4,cv,31.71276235846021,20.50819264024707,1.1978675914445136
5,cv,31.264699487963497,19.740533635747262,1.1530292256800794
test,test,31.707278249696717,20.216775810378522,1.1808461609252796
