fold,type,rmse,mae
1,cv,29.05167378852213,18.333687498806558
2,cv,43.88284778187211,19.214141077800527
3,cv,23.289173345539478,13.616687299898592
4,cv,31.815237520880476,21.733360907915507
5,cv,31.628331228634234,20.22314768777273
test,test,29.694661626875412,18.44881569446241
