fold,type,rmse,mae
1,cv,30.150685465318947,19.119966221221244
2,cv,38.24551644595668,18.15221859759424
3,cv,23.18426264943836,14.028533852170067
4,cv,33.059138405385184,21.291347573513725
5,cv,32.17035278005923,20.590777439800114
test,test,30.23698811700072,18.074634303062606
