fold,actual,pred,residual
1,102.22,81.54582,20.67417785644531
1,121.93,93.34985,28.580146484375007
1,113.08,99.30993,13.77007110595703
1,100.03,85.988174,14.041825561523439
1,94.71,76.93801,17.7719888305664
1,85.0,78.04693,6.953071594238281
1,81.98,74.47858,7.501423339843754
1,79.96,73.59688,6.363121948242181
1,76.0,65.525276,10.474723815917969
1,75.99,64.720184,11.26981567382812
1,74.64,58.394012,16.245987548828126
1,69.44,68.50592,0.9340795898437477
1,60.67,60.817482,-0.14748199462890454
1,36.79,50.395992,-13.605992279052735
1,0.0,32.23195,-32.23194885253906
1,-3.08,5.932823,-9.012823181152344
1,-10.06,-0.6307297,-9.429270324707032
1,-10.03,1.3945847,-11.424584655761718
1,-9.91,-1.2080917,-8.701908264160156
1,-10.0,-0.33772278,-9.662277221679688
1,-4.91,79.357666,-84.267666015625
1,-5.04,6.833687,-11.87368682861328
1,-0.06,12.682404,-12.742403564453125
1,50.0,23.721474,26.278526306152344
1,72.9,60.153313,12.746687316894537
1,105.42,74.8724,30.547601623535158
1,99.34,84.90833,14.431667175292972
1,82.29,81.00836,1.2816381835937563
1,69.5,68.1317,1.3683013916015625
1,12.38,66.01553,-53.63553344726562
1,4.08,39.872036,-35.79203598022461
1,4.07,17.080772,-13.010772399902343
1,4.09,21.282486,-17.192485961914063
1,53.21,21.484627,31.72537322998047
1,62.56,53.82343,8.736570892333987
1,66.66,70.55812,-3.898120727539066
1,58.71,71.58862,-12.878623046875
1,29.92,67.22808,-37.30808074951172
1,4.03,44.97906,-40.94906112670898
1,3.49,20.14595,-16.65595031738281
1,2.3,13.924088,-11.624087524414062
1,2.1,17.319954,-15.219953918457032
1,4.03,14.833412,-10.803412170410155
1,4.06,23.36097,-19.300969543457033
1,4.01,25.254898,-21.244898071289064
1,8.93,26.94897,-18.018970794677735
1,119.05,33.44886,85.60113983154297
1,79.78,93.527245,-13.747244567871093
1,114.96,81.54872,33.41127868652343
1,119.01,89.41465,29.5953500366211
1,95.07,97.41026,-2.3402630615234443
1,95.05,77.09828,17.951718139648435
1,77.27,80.53318,-3.2631802368164102
1,75.02,71.48765,3.5323519897460898
1,71.05,70.187225,0.8627746582031222
1,68.9,69.29272,-0.39271697998046307
1,68.93,66.40123,2.5287701416015693
1,74.84,69.11259,5.727413024902347
1,84.49,74.52504,9.964960327148432
1,109.12,83.481926,25.638074035644536
1,118.99,96.38417,22.605829467773432
1,108.64,95.29034,13.349663391113282
1,90.06,77.70739,12.352610168457034
1,82.37,67.72621,14.643788452148442
1,71.64,64.088936,7.551064147949219
1,67.72,55.510216,12.209784240722655
1,60.54,51.730473,8.809527435302734
1,62.19,50.15576,12.034238281249998
1,71.27,58.690575,12.579425354003902
1,78.93,65.521545,13.408454589843757
1,91.86,77.20494,14.655059204101562
1,95.62,83.70676,11.91324340820313
1,121.9,88.82564,33.07436218261719
1,150.85,104.7048,46.14519653320312
1,122.75,121.08746,1.66253662109375
1,94.97,100.567154,-5.597153930664064
1,87.5,76.55846,10.941543579101562
1,85.92,70.703186,15.216813964843752
1,81.42,69.40985,12.010148925781252
1,74.2,66.200325,7.999674987792972
1,79.79,67.72409,12.065909423828131
1,88.57,83.14225,5.427749938964837
1,91.69,91.10978,0.5802206420898415
1,113.84,97.34397,16.496028747558597
1,118.55,108.58443,9.965573120117185
1,104.18,104.61766,-0.4376605224609307
1,86.41,84.1159,2.294101867675778
1,66.92,72.950806,-6.030805664062498
1,47.93,63.02848,-15.098480529785157
1,32.4,54.53161,-22.13160858154297
1,28.49,44.59984,-16.10983825683594
1,49.45,46.81269,2.6373092651367216
1,77.13,116.96172,-39.83172332763672
1,19.67,81.36296,-61.692960815429686
1,82.39,58.659805,23.730194702148438
1,82.4,96.13406,-13.73406372070312
1,119.03,112.8439,6.186097412109376
1,88.18,126.724655,-38.54465515136718
1,82.4,95.61234,-13.21234283447265
1,95.09,84.345314,10.744685974121097
1,91.76,92.10842,-0.34842132568358863
1,84.15,90.0544,-5.904397583007807
1,74.3,80.886185,-6.586184692382815
1,70.1,83.703804,-13.603804016113287
1,66.56,80.936424,-14.376424255371091
1,67.68,78.01219,-10.33219177246093
1,79.97,78.8589,1.1110980224609364
1,96.26,98.92214,-2.6621420288085886
1,107.88,111.47357,-3.5935717773437545
1,99.07,109.675224,-10.605224304199226
1,87.3,95.862686,-8.562686157226565
1,68.19,87.47308,-19.283083496093752
1,59.92,73.21756,-13.297559814453123
1,39.32,66.68419,-27.364188842773437
1,9.35,50.68606,-41.33606185913086
1,15.28,26.084274,-10.804274291992188
1,77.04,29.99796,47.042040863037116
1,67.38,72.42373,-5.043728942871098
1,96.06,81.18768,14.872316894531252
1,81.1,99.968834,-18.86883392333985
1,87.94,99.2408,-11.300798950195315
1,114.2,99.379654,14.82034606933594
1,103.43,111.49437,-8.06436950683593
1,95.41,101.31188,-5.901882019042972
1,86.53,91.616104,-5.086104125976561
1,81.58,85.4747,-3.8947009277343767
1,77.49,78.245224,-0.7552239990234426
1,79.6,82.742836,-3.142835998535162
1,75.56,80.45534,-4.89533752441406
1,80.25,80.04238,0.20761871337890625
1,89.64,87.231064,2.408936157226563
1,115.94,106.66802,9.271977844238279
1,118.44,114.91961,3.520390930175779
1,93.89,116.62065,-22.730651245117187
1,84.37,94.17303,-9.803027038574214
1,72.09,81.26177,-9.171772155761715
1,63.15,68.75903,-5.609033203125001
1,56.06,55.852882,0.20711761474609602
1,42.61,48.27289,-5.662888183593751
1,36.82,43.87409,-7.054088287353515
1,44.9,45.07533,-0.1753288269042983
1,58.27,48.63199,9.638011474609378
1,76.62,75.402824,1.2171755981445358
1,85.95,89.35413,-3.4041336059570284
1,100.83,95.83624,4.993757324218748
1,110.5,104.339966,6.1600341796875
1,101.31,102.71718,-1.4071783447265602
1,90.34,95.91868,-5.578678283691403
1,85.06,86.48644,-1.4264425659179665
1,82.91,82.648384,0.26161590576171534
1,78.37,78.43408,-0.06408203124999545
1,75.92,78.98518,-3.065183715820311
1,73.4,77.26074,-3.8607421874999943
1,78.78,78.713684,0.06631591796875114
1,76.75,84.240555,-7.4905548095703125
1,77.61,86.94298,-9.332977905273438
1,73.63,87.60457,-13.974568481445317
1,70.0,81.48767,-11.4876708984375
1,59.97,75.71352,-15.743516235351564
1,25.62,60.88192,-35.26191986083984
1,6.23,33.06885,-26.838851470947265
1,2.59,16.48285,-13.89284912109375
1,2.22,12.131592,-9.911591796875
1,1.78,13.313797,-11.533796997070313
1,1.61,21.567291,-19.957291259765626
1,5.38,30.290428,-24.910428161621095
1,44.56,40.48988,4.070120391845705
1,75.0,69.128,5.872001647949219
1,82.93,92.34375,-9.413749999999993
1,92.62,98.425644,-5.805643920898433
1,92.62,96.74608,-4.126078491210933
1,85.78,87.315475,-1.5354754638671864
1,79.22,82.04826,-2.8282635498046886
1,79.17,78.83105,0.33895294189453296
1,73.1,79.82138,-6.721380615234381
1,70.77,70.72148,0.04851867675780852
1,69.93,68.8415,1.0885006713867256
1,71.39,70.3082,1.0818029785156256
1,70.5,74.26357,-3.7635726928710938
1,67.41,74.01537,-6.605373229980472
1,63.21,71.09391,-7.883910217285155
1,49.59,64.845604,-15.25560394287109
1,18.73,48.111782,-29.38178207397461
1,8.22,24.754425,-16.534425048828126
1,4.49,12.654152,-8.164151916503906
1,4.06,9.608002,-5.548001708984375
1,3.63,10.190804,-6.560803527832031
1,3.05,13.401169,-10.351168823242187
1,3.0,17.81945,-14.819450378417969
1,5.01,15.710266,-10.70026611328125
1,29.49,26.811153,2.678846588134764
1,78.21,48.448036,29.761963806152337
1,99.19,83.66266,15.527341308593748
1,109.79,95.77637,14.013632812500006
1,102.6,92.99085,9.609147644042963
1,99.0,84.26831,14.731689453125
1,86.98,80.76851,6.2114910888671915
1,78.71,74.045975,4.664025268554681
1,71.1,69.511765,1.5882354736328068
1,70.07,67.99434,2.0756610107421807
1,70.8,68.72726,2.0727432250976534
1,73.81,72.77083,1.0391717529296898
1,87.53,77.97931,9.550690917968751
1,116.11,92.24079,23.869208679199218
1,115.07,109.13351,5.936493225097649
1,99.95,102.012344,-2.0623443603515597
1,86.37,83.21922,3.150776977539067
1,80.13,73.8008,6.329203491210933
1,70.08,71.05754,-0.9775408935546892
1,80.2,60.71525,19.484751892089847
1,80.15,66.71014,13.439863586425787
1,80.15,70.30902,9.840979003906256
1,80.16,76.40953,3.750469360351559
1,78.73,75.31028,3.4197201538085977
1,91.04,86.31673,4.723273315429694
1,100.76,91.588684,9.171315917968755
1,133.63,102.53183,31.09817016601562
1,154.41,121.84314,32.5668603515625
1,127.82,130.0596,-2.239600830078132
1,101.16,108.997345,-7.837344970703128
1,88.97,89.28388,-0.3138821411132824
1,80.21,82.851685,-2.6416845703125063
1,79.4,74.43196,4.968038940429693
1,78.43,77.93598,0.49401824951172557
1,81.61,82.6909,-1.080902709960938
