fold,actual,pred,residual
1,102.22,82.679054,19.540945739746093
1,121.93,99.001205,22.92879455566407
1,113.08,107.54121,5.538793640136717
1,100.03,101.52548,-1.4954821777343739
1,94.71,96.1055,-1.3954992675781313
1,85.0,93.41801,-8.418006896972656
1,81.98,86.14167,-4.161670227050777
1,79.96,85.25685,-5.296851196289069
1,76.0,80.96399,-4.9639892578125
1,75.99,77.15892,-1.1689202880859426
1,74.64,68.49879,6.141213073730469
1,69.44,66.19315,3.2468466186523415
1,60.67,63.6744,-3.004400329589842
1,36.79,55.142693,-18.35269256591797
1,0.0,39.73576,-39.73575973510742
1,-3.08,5.818886,-8.898885803222656
1,-10.06,-4.3058624,-5.754137573242188
1,-10.03,2.5887299,-12.618729858398437
1,-9.91,-0.51272583,-9.397274169921875
1,-10.0,2.5803223,-12.580322265625
1,-4.91,72.446815,-77.35681549072265
1,-5.04,12.489021,-17.52902130126953
1,-0.06,15.354828,-15.414827880859375
1,50.0,21.269485,28.730514526367188
1,72.9,56.60317,16.296831512451178
1,105.42,79.54002,25.879976196289064
1,99.34,99.242355,0.09764465332031591
1,82.29,93.18503,-10.895028076171869
1,69.5,83.673645,-14.17364501953125
1,12.38,77.5517,-65.17169677734375
1,4.08,40.08679,-36.006788177490236
1,4.07,28.024311,-23.954311065673828
1,4.09,26.71946,-22.629459533691406
1,53.21,29.909534,23.300465545654298
1,62.56,65.27174,-2.7117437744140602
1,66.66,89.75317,-23.093166198730472
1,58.71,88.92339,-30.213393249511718
1,29.92,78.18233,-48.26232727050781
1,4.03,43.46986,-39.439860076904296
1,3.49,15.25145,-11.761449584960937
1,2.3,5.4564743,-3.156474304199219
1,2.1,13.485458,-11.385458374023438
1,4.03,11.402298,-7.372297973632812
1,4.06,14.502983,-10.44298309326172
1,4.01,11.658485,-7.6484854125976565
1,8.93,18.373772,-9.443771667480469
1,119.05,26.234093,92.81590728759765
1,79.78,111.1608,-31.380797119140624
1,114.96,94.71117,20.248833618164056
1,119.01,115.03287,3.97713256835938
1,95.07,116.87263,-21.802627258300788
1,95.05,95.03393,0.016072082519528408
1,77.27,93.01161,-15.741611938476566
1,75.02,75.373985,-0.35398529052734773
1,71.05,68.02308,3.026921081542966
1,68.9,79.59751,-10.6975112915039
1,68.93,72.02835,-3.098350830078118
1,74.84,70.10782,4.732181396484378
1,84.49,72.85119,11.638811340332026
1,109.12,94.92459,14.19540893554688
1,118.99,103.80645,15.183550109863276
1,108.64,106.81136,1.8286367797851568
1,90.06,91.15238,-1.092381896972654
1,82.37,74.31676,8.053242797851567
1,71.64,63.91941,7.720589294433594
1,67.72,56.514126,11.20587417602539
1,60.54,52.357086,8.182913818359374
1,62.19,47.20311,14.98689025878906
1,71.27,51.227634,20.042365570068355
1,78.93,60.407394,18.52260559082032
1,91.86,82.19975,9.660247192382812
1,95.62,94.04376,1.5762377929687545
1,121.9,98.98752,22.91248168945313
1,150.85,119.86329,30.986711120605463
1,122.75,137.49582,-14.745819091796875
1,94.97,114.80702,-19.837022094726564
1,87.5,90.00463,-2.5046310424804688
1,85.92,82.80344,3.1165637207031267
1,81.42,81.16396,0.25603668212890796
1,74.2,83.105576,-8.905575561523435
1,79.79,80.940186,-1.1501855468749937
1,88.57,91.92212,-3.352119140625007
1,91.69,100.91489,-9.224886474609377
1,113.84,105.45525,8.384746398925785
1,118.55,118.791794,-0.24179382324219034
1,104.18,117.10984,-12.9298403930664
1,86.41,94.004684,-7.594684448242191
1,66.92,73.002846,-6.0828457641601545
1,47.93,56.70508,-8.775078125
1,32.4,47.023186,-14.62318572998047
1,28.49,32.9554,-4.465398559570314
1,49.45,30.924835,18.525164794921878
1,77.13,120.75846,-43.62846099853516
1,19.67,70.97877,-51.30876739501953
1,82.39,53.354244,29.035755767822266
1,82.4,93.17677,-10.776773071289057
1,119.03,113.19659,5.833413391113282
1,88.18,132.92274,-44.742744750976556
1,82.4,107.50327,-25.1032730102539
1,95.09,90.803444,4.286556091308597
1,91.76,88.75771,3.0022866821289114
1,84.15,85.36223,-1.2122283935546818
1,74.3,77.734955,-3.434954833984378
1,70.1,84.36223,-14.262228393554693
1,66.56,78.72176,-12.161763610839841
1,67.68,73.434784,-5.754783935546868
1,79.97,73.01402,6.955977172851561
1,96.26,91.11306,5.146940002441411
1,107.88,102.91055,4.9694470214843705
1,99.07,99.16332,-0.09332244873047557
1,87.3,86.85015,0.4498489379882784
1,68.19,78.61977,-10.429766235351565
1,59.92,63.966206,-4.046205596923826
1,39.32,59.463608,-20.143607788085937
1,9.35,45.12754,-35.777540588378905
1,15.28,17.661652,-2.3816516113281256
1,77.04,18.792503,58.24749664306641
1,67.38,63.67389,3.7061108398437455
1,96.06,76.062584,19.99741607666016
1,81.1,98.15708,-17.057081604003912
1,87.94,96.05635,-8.116350708007815
1,114.2,97.209816,16.990184020996097
1,103.43,105.14691,-1.7169116210937432
1,95.41,95.6587,-0.24869903564453466
1,86.53,83.73218,2.797822265625001
1,81.58,76.996635,4.5833645629882795
1,77.49,72.53265,4.957346191406245
1,79.6,75.3403,4.259698486328119
1,75.56,68.937035,6.6229653930664085
1,80.25,72.36838,7.881622314453125
1,89.64,77.398674,12.241325988769532
1,115.94,93.498856,22.441144409179685
1,118.44,103.853615,14.586385192871091
1,93.89,104.707306,-10.817305908203124
1,84.37,86.034225,-1.664225463867183
1,72.09,72.562805,-0.4728051757812466
1,63.15,58.829967,4.320032501220702
1,56.06,49.742714,6.317286071777346
1,42.61,44.376297,-1.766296997070313
1,36.82,39.825455,-3.005454711914062
1,44.9,39.89685,5.003149414062499
1,58.27,41.988625,16.281375427246097
1,76.62,74.3245,2.2954989624023483
1,85.95,80.8552,5.094798278808597
1,100.83,90.26922,10.56078155517578
1,110.5,100.29047,10.20953369140625
1,101.31,100.0597,1.250299987792971
1,90.34,91.016975,-0.6769754028320278
1,85.06,81.10489,3.9551110839843773
1,82.91,76.180595,6.729404602050778
1,78.37,73.754845,4.615155334472661
1,75.92,83.43753,-7.517530517578123
1,73.4,81.55625,-8.1562515258789
1,78.78,79.44778,-0.6677767944335926
1,76.75,82.044495,-5.29449462890625
1,77.61,84.40346,-6.793457641601563
1,73.63,85.38435,-11.754353637695317
1,70.0,79.60372,-9.603721618652344
1,59.97,71.47873,-11.508729248046876
1,25.62,60.63826,-35.01825988769531
1,6.23,35.955566,-29.72556640625
1,2.59,14.3474655,-11.757465515136719
