fold,type,rmse,mae
1,cv,30.42149545054157,19.415850617135806
2,cv,38.27025918362019,17.869675140719156
3,cv,22.944082956909522,13.518465013941139
4,cv,32.988819420405285,21.317345665441138
5,cv,32.421597420758914,20.622078544726506
test,test,29.91424101805977,17.526666074736834
