fold,type,rmse,mae
1,cv,30.060045340059567,17.169211267662842
2,cv,59.05146439584601,18.95925559435406
3,cv,22.44605281840842,12.250016008338068
4,cv,32.906692446518235,20.256475581961947
5,cv,32.50473898824617,19.814593245115788
test,test,29.261862152241868,16.49677433183141
