fold,type,rmse,mae
1,cv,30.25018186779703,17.506661547701594
2,cv,58.654892123174015,19.10372823005511
3,cv,22.348881341925612,12.163576725927376
4,cv,32.43638478782358,20.213870403546302
5,cv,32.533528514193875,19.489970553241402
test,test,28.98396368535993,16.363853257114517
