number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
30,32.22284678423841,2026-05-02 03:55:54.986481,2026-05-02 03:59:00.947769,0 days 00:03:05.961288,16,80,0.4123977870286257,,,0.0031047563754497236,1,24,96,,,COMPLETE
31,33.0613292309343,2026-05-02 03:59:00.947769,2026-05-02 04:01:32.515979,0 days 00:02:31.568210,16,80,0.45120013165340384,,,0.002990445684180276,1,24,96,,,COMPLETE
32,35.09197557849829,2026-05-02 04:01:32.515979,2026-05-02 04:04:33.933595,0 days 00:03:01.417616,16,64,0.4139347106777712,,,0.002954232101989338,1,24,96,,,COMPLETE
33,33.69251437173942,2026-05-02 04:04:33.933595,2026-05-02 04:07:00.436193,0 days 00:02:26.502598,16,80,0.4131554841257307,,,0.006049072888975633,1,24,96,,,COMPLETE
34,32.27632726318525,2026-05-02 04:07:00.437253,2026-05-02 04:10:46.868681,0 days 00:03:46.431428,16,96,0.2836433557889676,,,0.0024438252846914923,1,24,96,,,COMPLETE
35,33.48815584722239,2026-05-02 04:10:46.868681,2026-05-02 04:13:54.386615,0 days 00:03:07.517934,16,64,0.3526466102453539,,,0.008612438396570627,1,24,128,,,COMPLETE
36,33.273746797487114,2026-05-02 04:13:54.386615,2026-05-02 04:15:39.248795,0 days 00:01:44.862180,32,80,0.4054950724367025,,,0.0030985033266937335,1,24,64,,,COMPLETE
37,32.685688223511185,2026-05-02 04:15:39.250221,2026-05-02 04:25:10.258943,0 days 00:09:31.008722,32,48,0.32669732543597235,0.4260948724771155,,0.003648908812395271,2,24,160,192.0,,COMPLETE
38,32.52684018548869,2026-05-02 04:25:10.259951,2026-05-02 04:27:28.699300,0 days 00:02:18.439349,16,112,0.30036883480171817,,,0.004776345931814584,1,12,128,,,COMPLETE
39,34.125352098626614,2026-05-02 04:27:28.700300,2026-05-02 04:28:52.177076,0 days 00:01:23.476776,64,112,0.49590004960468653,,,0.0058403495708206285,1,24,64,,,COMPLETE
40,34.61662449429472,2026-05-02 04:28:52.178076,2026-05-02 04:29:43.050679,0 days 00:00:50.872603,32,64,0.3631599587789066,,,0.010660323604339769,1,6,96,,,COMPLETE
41,32.78781614805723,2026-05-02 04:29:43.051679,2026-05-02 04:32:15.306691,0 days 00:02:32.255012,16,96,0.20950428480861427,,,0.002527047114698739,1,24,96,,,COMPLETE
42,32.157986470420894,2026-05-02 04:32:15.306691,2026-05-02 04:35:51.447417,0 days 00:03:36.140726,16,96,0.2805909402916971,,,0.002491297672688159,1,24,96,,,COMPLETE
43,33.061375667692445,2026-05-02 04:35:51.447417,2026-05-02 04:40:01.707469,0 days 00:04:10.260052,16,80,0.4723353983582562,,,0.0019095487491023408,1,24,128,,,COMPLETE
44,32.472567755945875,2026-05-02 04:40:01.708466,2026-05-02 04:41:55.878839,0 days 00:01:54.170373,16,96,0.39191759093870066,,,0.0021579989789233525,1,12,64,,,COMPLETE
45,32.17421332165138,2026-05-02 04:41:55.879839,2026-05-02 04:45:34.942598,0 days 00:03:39.062759,16,64,0.145119644144503,,,0.004317039464029118,1,24,128,,,COMPLETE
46,31.096380705960108,2026-05-02 04:45:34.943166,2026-05-02 04:46:41.270436,0 days 00:01:06.327270,64,48,0.16485318326911472,,,0.004992858865415641,1,6,160,,,COMPLETE
47,33.773946513753195,2026-05-02 04:46:41.272518,2026-05-02 04:48:45.754034,0 days 00:02:04.481516,64,48,0.16545001973675896,0.16410413786651484,,0.007790177951000447,2,6,160,256.0,,COMPLETE
48,31.24029828250313,2026-05-02 04:48:45.754034,2026-05-02 04:49:57.392415,0 days 00:01:11.638381,64,48,0.20798405726909938,,,0.005133426881763029,1,6,192,,,COMPLETE
49,31.65498167271054,2026-05-02 04:49:57.393408,2026-05-02 04:51:35.906477,0 days 00:01:38.513069,64,32,0.18669708872614937,,,0.005160926984678255,1,6,224,,,COMPLETE
50,32.246725034073634,2026-05-02 04:51:35.906477,2026-05-02 04:54:39.364615,0 days 00:03:03.458138,64,32,0.18865993896784092,0.39689446533212686,,0.005008663341000068,2,6,224,192.0,,COMPLETE
51,31.41749314964535,2026-05-02 04:54:39.364615,2026-05-02 04:56:01.606724,0 days 00:01:22.242109,64,32,0.21536295181603532,,,0.0057106876184481285,1,6,224,,,COMPLETE
52,31.294455195821037,2026-05-02 04:56:01.606724,2026-05-02 04:57:45.880232,0 days 00:01:44.273508,64,32,0.22891701113439222,,,0.003460819093761778,1,6,224,,,COMPLETE
53,31.37452879480037,2026-05-02 04:57:45.880232,2026-05-02 04:59:23.480806,0 days 00:01:37.600574,64,32,0.21946645590831418,,,0.005758554446179506,1,6,224,,,COMPLETE
54,31.319106573584754,2026-05-02 04:59:23.480806,2026-05-02 05:00:57.221828,0 days 00:01:33.741022,64,32,0.21323840324177726,,,0.005521823863808344,1,6,224,,,COMPLETE
55,31.79910997573712,2026-05-02 05:00:57.222826,2026-05-02 05:02:21.154169,0 days 00:01:23.931343,64,32,0.21941292282824046,,,0.006069416605888141,1,6,192,,,COMPLETE
56,37.934253885219015,2026-05-02 05:02:21.155169,2026-05-02 05:03:34.674153,0 days 00:01:13.518984,64,32,0.2285588552528121,,,0.008083985044732869,1,6,224,,,COMPLETE
57,37.976707008831376,2026-05-02 05:03:34.675151,2026-05-02 05:04:58.598075,0 days 00:01:23.922924,64,16,0.2617533754688295,,,0.010365059050362096,1,6,256,,,COMPLETE
58,31.712190740996213,2026-05-02 05:04:58.599071,2026-05-02 05:05:59.999791,0 days 00:01:01.400720,64,32,0.20267635705726647,,,0.007051800980482714,1,6,192,,,COMPLETE
59,33.4530463127703,2026-05-02 05:05:59.999791,2026-05-02 05:08:31.156670,0 days 00:02:31.156879,64,16,0.12144057929508276,0.27857150289114474,0.3043277289462435,0.003539636984356016,3,6,224,128.0,128.0,COMPLETE
60,31.641402559047503,2026-05-02 05:08:31.157670,2026-05-02 05:10:03.640623,0 days 00:01:32.482953,64,48,0.24635216356034956,,,0.004582568686068426,1,6,224,,,COMPLETE
61,31.39779139813304,2026-05-02 05:10:03.641632,2026-05-02 05:11:26.362088,0 days 00:01:22.720456,64,48,0.2436484159917077,,,0.004535652858218208,1,6,224,,,COMPLETE
62,31.805472485382317,2026-05-02 05:11:26.362088,2026-05-02 05:12:30.526519,0 days 00:01:04.164431,64,48,0.22494743351344723,,,0.005449396781610958,1,6,192,,,COMPLETE
63,31.531766404922344,2026-05-02 05:12:30.526519,2026-05-02 05:14:02.279188,0 days 00:01:31.752669,64,32,0.20584314528805348,,,0.0057700406358451575,1,6,256,,,COMPLETE
64,31.57230041537199,2026-05-02 05:14:02.279381,2026-05-02 05:15:57.125613,0 days 00:01:54.846232,64,32,0.25980960387005153,,,0.006447956516897584,1,6,224,,,COMPLETE
65,32.1944835359923,2026-05-02 05:15:57.126612,2026-05-02 05:17:23.334155,0 days 00:01:26.207543,64,48,0.15986664366638642,,,0.0043060994153849294,1,6,192,,,COMPLETE
66,39.73651630835937,2026-05-02 05:17:23.334155,2026-05-02 05:18:59.188548,0 days 00:01:35.854393,64,16,0.183183103142248,,,0.009371463223138279,1,6,256,,,COMPLETE
