fold,type,rmse,mae,rmae
1,cv,31.751351998650946,20.462671513178574,1.1952087377952472
2,cv,41.35336219322109,18.37660630144512,1.0733632902412087
3,cv,23.33151390293362,14.232306151403062,0.831297939771875
4,cv,31.44038274786856,20.561996555101647,1.2010102362902937
5,cv,31.265968304101204,19.49375327247142,1.1386149764793523
test,test,30.853972315854108,19.77566395415782,1.155081160272236
