fold,type,rmse,mae,rmae
1,cv,30.350044859899967,18.933942733510577,0.5245438151386611
2,cv,40.26686821726465,17.997886748273082,0.49861142564163125
3,cv,23.12061893802816,13.712172014138376,0.37988046775929607
4,cv,32.51360999999453,21.177969000275603,0.5867120658726722
5,cv,32.2033843531229,20.3827693716839,0.5646819450019622
test,test,31.98945176641543,20.255741477898578,0.5611627785518994
