date,model,rmse,mean_cv_rmse
2026-03-14 20:48:31,last_value,36.04790019619064,
2026-03-14 20:48:31,train_mean,68.0466672715942,
2026-03-14 20:48:31,rolling_mean,53.555529731856296,
2026-03-14 20:48:31,lgbm_regression,27.586892100211507,32.37236679362927
2026-03-14 20:48:31,lgbm_huber,65.19988557142916,64.86391238625681
2026-03-14 20:48:31,lgbm_fair,27.917068780837635,34.25054644335749
2026-03-14 20:48:31,xgb_regression,25.806314985359016,31.095149290112012
2026-03-14 20:48:31,xgb_huber,26.648895341669213,60.89489404691599
2026-03-14 20:48:31,mlp,67.37348546107687,67.40435436098204
2026-03-14 20:48:31,lstm,19.493294411617107,26.142744575047978
