fold,type,rmse,mae,rmae
1,cv,29.149063654740768,17.846099121885675,1.0423767782374265
2,cv,43.93529257395423,19.68704877174298,1.149905216346472
3,cv,22.972207487559352,13.23822163382094,0.773234235785036
4,cv,32.03775825505708,21.926658614629126,1.2807190864584865
5,cv,31.528473932936723,20.74896510537702,1.211930923984377
test,test,29.767189907819702,18.32207931248047,1.0701784111986925
