number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
30,46.147879591584584,2026-05-05 13:54:52.440052,2026-05-05 13:54:54.363476,0 days 00:00:01.923424,0.4505200429499107,0.0026715877965148745,9,29,333,59,COMPLETE
31,36.195510887814024,2026-05-05 13:54:54.363476,2026-05-05 13:54:55.931877,0 days 00:00:01.568401,0.49290746201109387,0.01885913353948966,7,62,770,28,COMPLETE
32,36.31898583561521,2026-05-05 13:54:55.931877,2026-05-05 13:54:57.585427,0 days 00:00:01.653550,0.5455841550192073,0.014756401129371183,8,71,704,24,COMPLETE
33,36.60046804319135,2026-05-05 13:54:57.585427,2026-05-05 13:54:59.486130,0 days 00:00:01.900703,0.5040984200353474,0.00590203832799859,9,49,894,15,COMPLETE
34,36.13526345303105,2026-05-05 13:54:59.487129,2026-05-05 13:55:00.439358,0 days 00:00:00.952229,0.6506753897755914,0.03146598157527072,5,40,588,35,COMPLETE
35,36.20357700875218,2026-05-05 13:55:00.439358,2026-05-05 13:55:01.394730,0 days 00:00:00.955372,0.6358122121255014,0.03055243129449897,5,42,582,48,COMPLETE
36,35.84308318063641,2026-05-05 13:55:01.395730,2026-05-05 13:55:02.196188,0 days 00:00:00.800458,0.7525670519810712,0.021192506720530156,5,36,408,36,COMPLETE
37,37.545841746852304,2026-05-05 13:55:02.203192,2026-05-05 13:55:03.249621,0 days 00:00:01.046429,0.7720481924416654,0.01046214239674668,6,13,238,40,COMPLETE
38,38.89414648594056,2026-05-05 13:55:03.250620,2026-05-05 13:55:03.557165,0 days 00:00:00.306545,0.7210788204660543,0.020643976223370438,4,35,100,72,COMPLETE
39,36.74408025517294,2026-05-05 13:55:03.557165,2026-05-05 13:55:04.537569,0 days 00:00:00.980404,0.7717854493501239,0.05139924189873129,7,53,398,55,COMPLETE
40,37.370318435071546,2026-05-05 13:55:04.551073,2026-05-05 13:55:05.786184,0 days 00:00:01.235111,0.8232169307968942,0.005836000999411588,5,26,416,45,COMPLETE
41,36.426528742571165,2026-05-05 13:55:05.786184,2026-05-05 13:55:06.612498,0 days 00:00:00.826314,0.6588323912672932,0.02791948885530875,5,44,486,35,COMPLETE
42,36.26255878009955,2026-05-05 13:55:06.612498,2026-05-05 13:55:07.744316,0 days 00:00:01.131818,0.5817088445324423,0.03859838719088406,6,37,590,33,COMPLETE
43,35.826600241845924,2026-05-05 13:55:07.744316,2026-05-05 13:55:09.259125,0 days 00:00:01.514809,0.8218329401303072,0.02162202138167844,5,32,813,42,COMPLETE
44,36.00467481382797,2026-05-05 13:55:09.261634,2026-05-05 13:55:10.577437,0 days 00:00:01.315803,0.8510519001118257,0.018402394282591633,4,32,837,41,COMPLETE
45,36.227430825172696,2026-05-05 13:55:10.577437,2026-05-05 13:55:12.035673,0 days 00:00:01.458236,0.8628381497118163,0.00973787201935686,4,31,865,41,COMPLETE
46,36.09949110047075,2026-05-05 13:55:12.035673,2026-05-05 13:55:13.278597,0 days 00:00:01.242924,0.8156362066431022,0.022829731149951474,4,25,819,29,COMPLETE
47,36.42113669785002,2026-05-05 13:55:13.278597,2026-05-05 13:55:14.632715,0 days 00:00:01.354118,0.8420605008214044,0.012124255368126958,5,47,678,44,COMPLETE
48,36.416495389096056,2026-05-05 13:55:14.647718,2026-05-05 13:55:16.070041,0 days 00:00:01.422323,0.9042461069045058,0.007478971949687194,4,32,798,39,COMPLETE
49,38.02576803200409,2026-05-05 13:55:16.070041,2026-05-05 13:55:18.034315,0 days 00:00:01.964274,0.7880320781583742,0.07139934000973314,5,13,946,22,COMPLETE
50,36.446462286483815,2026-05-05 13:55:18.035182,2026-05-05 13:55:18.660133,0 days 00:00:00.624951,0.8992815753928124,0.01719104652308138,3,19,452,52,COMPLETE
51,36.26707900844067,2026-05-05 13:55:18.660133,2026-05-05 13:55:19.976602,0 days 00:00:01.316469,0.8231169871122007,0.02198726965040235,4,25,840,30,COMPLETE
52,36.358996032296645,2026-05-05 13:55:19.976602,2026-05-05 13:55:21.236353,0 days 00:00:01.259751,0.8490109587396556,0.025419204427815898,4,23,810,23,COMPLETE
53,36.3256487631974,2026-05-05 13:55:21.236353,2026-05-05 13:55:22.338025,0 days 00:00:01.101672,0.7955894340918795,0.044661971567890014,3,34,976,47,COMPLETE
54,36.35934348235777,2026-05-05 13:55:22.339024,2026-05-05 13:55:23.555631,0 days 00:00:01.216607,0.40262816150734926,0.011447784952937952,5,40,716,31,COMPLETE
55,36.01726753388002,2026-05-05 13:55:23.555631,2026-05-05 13:55:25.131844,0 days 00:00:01.576213,0.7590111794178862,0.021172862665755424,4,29,1064,43,COMPLETE
56,36.67273898046314,2026-05-05 13:55:25.131844,2026-05-05 13:55:27.503496,0 days 00:00:02.371652,0.7428371182477556,0.033335672794555744,6,27,1073,37,COMPLETE
57,36.06507263772488,2026-05-05 13:55:27.504496,2026-05-05 13:55:29.728747,0 days 00:00:02.224251,0.7629105680903887,0.01658593339194377,5,37,1331,42,COMPLETE
58,36.959015957612614,2026-05-05 13:55:29.729794,2026-05-05 13:55:30.959081,0 days 00:00:01.229287,0.6929929498236338,0.009063020324213775,3,44,1056,50,COMPLETE
59,36.94766707616442,2026-05-05 13:55:30.959081,2026-05-05 13:55:31.724679,0 days 00:00:00.765598,0.46091161010263315,0.060505036829068215,4,51,646,55,COMPLETE
60,36.31579018963983,2026-05-05 13:55:31.725679,2026-05-05 13:55:34.103381,0 days 00:00:02.377702,0.892856572202665,0.013710420560745874,7,87,914,59,COMPLETE
61,36.058469589997486,2026-05-05 13:55:34.103381,2026-05-05 13:55:36.455920,0 days 00:00:02.352539,0.7679967288456133,0.01560029827331076,5,37,1404,41,COMPLETE
62,35.9425011525621,2026-05-05 13:55:36.455920,2026-05-05 13:55:38.498843,0 days 00:00:02.042923,0.8006618475982186,0.02023069869225913,5,33,1160,45,COMPLETE
63,35.977561515098536,2026-05-05 13:55:38.498843,2026-05-05 13:55:40.936172,0 days 00:00:02.437329,0.8441107969418891,0.019792441672599255,6,32,1119,45,COMPLETE
