fold,type,rmse,mae
1,cv,29.541895250248096,17.785491093681095
2,cv,46.50457509950222,22.511778921192736
3,cv,23.90830407070614,15.323228311003746
4,cv,31.392181360969172,20.69504024516079
5,cv,31.27119975944478,20.084052946360664
test,test,31.7617058857539,20.373429055874777
