fold,type,rmse,mae
1,cv,30.11414458556484,18.874904291199098
2,cv,39.41270719207039,19.111241059591286
3,cv,23.176589786880793,13.89883606367953
4,cv,33.11826146774973,22.138863607098095
5,cv,32.040024587306,20.097784971923453
test,test,30.170246173726113,18.04399815970186
