fold,type,rmse,mae
1,cv,29.009940135405515,18.113912797663257
2,cv,47.836947886413085,24.016941863737287
3,cv,24.342414686415513,15.011172966687248
4,cv,31.64347936677099,21.36514592030256
5,cv,31.932196293363617,21.362743062093394
test,test,30.133583192374715,18.42522906999521
