number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
28,35.706373775191224,2026-04-29 12:13:15.015220,2026-04-29 12:13:16.410556,0 days 00:00:01.395336,48.163796084177584,0.8261290325513402,0.014230734214986232,8,80,387,101,COMPLETE
29,35.835725606777366,2026-04-29 12:13:16.410556,2026-04-29 12:13:17.900475,0 days 00:00:01.489919,22.259896472558516,0.8232831865386785,0.015540430981411842,8,80,485,78,COMPLETE
30,45.25397079881149,2026-04-29 12:13:17.900475,2026-04-29 12:13:19.764306,0 days 00:00:01.863831,8.67730148054586,0.80527433612385,0.0010320852029165916,9,93,380,89,COMPLETE
31,36.089364058665524,2026-04-29 12:13:19.764306,2026-04-29 12:13:21.253690,0 days 00:00:01.489384,48.10699540880571,0.9474777406218926,0.008797107825531236,7,68,355,103,COMPLETE
32,35.837085699056274,2026-04-29 12:13:21.253690,2026-04-29 12:13:22.504002,0 days 00:00:01.250312,59.492228125044555,0.8370643232321582,0.019686714127045406,6,56,650,96,COMPLETE
33,38.53340611925048,2026-04-29 12:13:22.504002,2026-04-29 12:13:24.732808,0 days 00:00:02.228806,37.65157751927214,0.8702768537805867,0.0026654718820970607,7,78,496,105,COMPLETE
34,37.54082785820533,2026-04-29 12:13:24.732808,2026-04-29 12:13:26.845427,0 days 00:00:02.112619,49.447429132423046,0.9253078174397219,0.0039759514101245395,8,88,427,96,COMPLETE
35,35.76896100044205,2026-04-29 12:13:26.845427,2026-04-29 12:13:28.798663,0 days 00:00:01.953236,33.84044692446971,0.7790854629908476,0.008147433383116043,6,42,789,67,COMPLETE
36,36.770733549173244,2026-04-29 12:13:28.798663,2026-04-29 12:13:30.539536,0 days 00:00:01.740873,2.0603053019462343,0.7446542375372667,0.007676695117476884,6,38,984,18,COMPLETE
37,35.78819982645162,2026-04-29 12:13:30.539536,2026-04-29 12:13:32.321727,0 days 00:00:01.782191,32.88111142418389,0.7046505649332566,0.011656694919659916,7,23,811,27,COMPLETE
38,36.26405009035433,2026-04-29 12:13:32.321727,2026-04-29 12:13:34.882436,0 days 00:00:02.560709,24.08896697432919,0.7829525803731763,0.0035794136868109337,8,43,764,37,COMPLETE
39,38.526382913601935,2026-04-29 12:13:34.882436,2026-04-29 12:13:37.006860,0 days 00:00:02.124424,34.09136286149522,0.62303415352342,0.0016833211938830442,5,32,918,65,COMPLETE
40,35.744869964135106,2026-04-29 12:13:37.006860,2026-04-29 12:13:38.291552,0 days 00:00:01.284692,46.96583787522583,0.797224062130068,0.01580844890691609,6,55,631,45,COMPLETE
41,35.7103091503554,2026-04-29 12:13:38.291552,2026-04-29 12:13:39.621194,0 days 00:00:01.329642,44.856240841104274,0.7271560560319766,0.015087281994525388,6,56,641,52,COMPLETE
42,35.760095162899475,2026-04-29 12:13:39.621194,2026-04-29 12:13:40.977755,0 days 00:00:01.356561,45.290646386936146,0.7254383891920212,0.01606851033877722,6,56,676,51,COMPLETE
43,35.67255628289926,2026-04-29 12:13:40.977755,2026-04-29 12:13:42.297422,0 days 00:00:01.319667,46.2485123831295,0.7284389920716446,0.014598377992040276,6,54,625,48,COMPLETE
44,35.763643184567755,2026-04-29 12:13:42.297422,2026-04-29 12:13:43.497212,0 days 00:00:01.199790,48.3555304848667,0.643676553858959,0.023006781316971998,7,56,549,44,COMPLETE
45,35.6639210202923,2026-04-29 12:13:43.497212,2026-04-29 12:13:44.963092,0 days 00:00:01.465880,43.39714900934064,0.5475567457721112,0.014668897362789238,7,47,614,45,COMPLETE
46,35.80377219660878,2026-04-29 12:13:44.963092,2026-04-29 12:13:46.610711,0 days 00:00:01.647619,15.858066602449092,0.5658056244634038,0.01249246068566034,8,47,721,30,COMPLETE
47,36.828570110261964,2026-04-29 12:13:46.610711,2026-04-29 12:13:48.659369,0 days 00:00:02.048658,24.58472854095503,0.5432855604153873,0.004614669899746671,7,32,531,53,COMPLETE
48,36.45563092494837,2026-04-29 12:13:48.659369,2026-04-29 12:13:50.989467,0 days 00:00:02.330098,5.556931915026966,0.5848849872794897,0.0066348127647515975,9,51,605,58,COMPLETE
49,35.67839074053079,2026-04-29 12:13:50.989467,2026-04-29 12:13:53.142444,0 days 00:00:02.152977,41.21193919402696,0.44910265965647644,0.010183210607370579,8,23,750,46,COMPLETE
50,35.73348383211135,2026-04-29 12:13:53.142444,2026-04-29 12:13:55.348065,0 days 00:00:02.205621,37.938493838632645,0.49707916419853865,0.009900800030814104,8,22,741,47,COMPLETE
51,35.72264612208047,2026-04-29 12:13:55.348065,2026-04-29 12:13:56.620174,0 days 00:00:01.272109,51.912422887875294,0.4237128235104855,0.024112038190429456,8,67,609,40,COMPLETE
52,36.78504491634219,2026-04-29 12:13:56.620174,2026-04-29 12:13:58.252075,0 days 00:00:01.631901,42.544453004042886,0.4136713112987619,0.02392084507650325,9,14,603,40,COMPLETE
53,39.00147350570721,2026-04-29 12:13:58.252075,2026-04-29 12:13:59.775737,0 days 00:00:01.523662,28.648240021131055,0.44194816304492435,0.02018438905449731,8,7,659,32,COMPLETE
54,35.670287744823106,2026-04-29 12:13:59.775737,2026-04-29 12:14:01.375516,0 days 00:00:01.599779,52.30584680374078,0.4920888306154531,0.01297905708376385,8,59,567,53,COMPLETE
55,35.648377760374515,2026-04-29 12:14:01.375516,2026-04-29 12:14:03.214819,0 days 00:00:01.839303,36.81650957319528,0.48719748183664485,0.012972475473619353,9,59,534,55,COMPLETE
56,35.729110297999426,2026-04-29 12:14:03.214819,2026-04-29 12:14:05.017042,0 days 00:00:01.802223,36.14215273015253,0.4788410406210609,0.010948932232730716,9,60,535,56,COMPLETE
57,35.61465344609615,2026-04-29 12:14:05.017042,2026-04-29 12:14:06.586883,0 days 00:00:01.569841,39.909981143825284,0.5098037240813657,0.012757935648321945,9,24,455,48,COMPLETE
58,35.91059090271877,2026-04-29 12:14:06.586883,2026-04-29 12:14:08.499237,0 days 00:00:01.912354,40.477504422402156,0.517261653753332,0.007599546935970871,10,24,507,48,COMPLETE
59,35.8996786822906,2026-04-29 12:14:08.499237,2026-04-29 12:14:10.332691,0 days 00:00:01.833454,25.978174131268844,0.4633246049728136,0.009639470028217299,9,27,441,62,COMPLETE
60,35.74432417725081,2026-04-29 12:14:10.332691,2026-04-29 12:14:12.365732,0 days 00:00:02.033041,30.39445419763756,0.5091649200225999,0.0128703824937368,10,34,578,55,COMPLETE
61,36.15923763504371,2026-04-29 12:14:12.365732,2026-04-29 12:14:13.837239,0 days 00:00:01.471507,42.23638861412293,0.5314423546197636,0.031266453959197055,8,19,565,43,COMPLETE
62,35.74806999460429,2026-04-29 12:14:13.837239,2026-04-29 12:14:15.216150,0 days 00:00:01.378911,52.289336416209395,0.48495511170246347,0.01836150217013918,9,43,470,49,COMPLETE
63,37.523996205285094,2026-04-29 12:14:15.216150,2026-04-29 12:14:18.042696,0 days 00:00:02.826546,58.95861005540869,0.4415115497300222,0.0138146240068951,9,10,689,70,COMPLETE
64,35.58948187607425,2026-04-29 12:14:18.042696,2026-04-29 12:14:19.745165,0 days 00:00:01.702469,34.87983955637009,0.5852873466499382,0.010864134736218329,8,18,411,59,COMPLETE
65,36.16661681377726,2026-04-29 12:14:19.745165,2026-04-29 12:14:21.687246,0 days 00:00:01.942081,35.41182248755349,0.5813984619262075,0.010941129926558643,9,15,448,59,COMPLETE
66,36.47770836799002,2026-04-29 12:14:21.687246,2026-04-29 12:14:23.151649,0 days 00:00:01.464403,30.02658019190693,0.4024029728845151,0.0068386577329056335,8,17,510,37,COMPLETE
