fold,type,rmse,mae,rmae
1,cv,30.06004654072846,17.169211452885726,0.47565389867159763
2,cv,59.03505129263799,18.893612321251933,0.5234265059437397
3,cv,22.47423687454147,12.248343668643766,0.3393267322874507
4,cv,32.884378460089856,20.25886643793026,0.5612493520923524
5,cv,32.504738797562474,19.8145930778815,0.5489412530067881
test,test,29.261862388921276,16.49677427387023,0.4570247748654083
