number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
31,31.005430099410177,2026-05-05 12:39:32.101241,2026-05-05 12:39:43.649261,0 days 00:00:11.548020,128,0.04142099171528655,,,0.002061525315718821,1,64,,,COMPLETE
32,31.358295748242988,2026-05-05 12:39:43.649261,2026-05-05 12:39:55.131308,0 days 00:00:11.482047,128,0.03632212911617323,,,0.0015475781018485701,1,64,,,COMPLETE
33,31.09354788222951,2026-05-05 12:39:55.131308,2026-05-05 12:40:05.536806,0 days 00:00:10.405498,128,0.03592070050163764,,,0.002285814152619633,1,64,,,COMPLETE
34,31.268695562695058,2026-05-05 12:40:05.536806,2026-05-05 12:40:17.254266,0 days 00:00:11.717460,128,0.0011939224419540428,,,0.0022291943453990105,1,64,,,COMPLETE
35,31.430597825386815,2026-05-05 12:40:17.255270,2026-05-05 12:40:28.157578,0 days 00:00:10.902308,128,0.04758300790648837,,,0.0014715068055729695,1,64,,,COMPLETE
36,31.44190177646958,2026-05-05 12:40:28.157578,2026-05-05 12:41:03.088045,0 days 00:00:34.930467,16,0.1016314557894453,,,0.0012312627273547271,1,96,,,COMPLETE
37,31.483315279785113,2026-05-05 12:41:03.088045,2026-05-05 12:41:13.438266,0 days 00:00:10.350221,128,0.05251408973989785,,,0.0019098306972175987,1,64,,,COMPLETE
38,31.58565612679965,2026-05-05 12:41:13.439266,2026-05-05 12:41:26.675675,0 days 00:00:13.236409,128,0.11444219529572733,0.38689389281876085,,0.002570674153189526,2,32,128.0,,COMPLETE
39,37.706062913804836,2026-05-05 12:41:26.675675,2026-05-05 12:41:55.311390,0 days 00:00:28.635715,16,0.05981684108205274,,,0.2699123711469146,1,96,,,COMPLETE
40,30.838943435617246,2026-05-05 12:41:55.312303,2026-05-05 12:42:09.154007,0 days 00:00:13.841704,64,0.01222750587811024,,,0.004119689481687429,1,64,,,COMPLETE
41,31.604798130749607,2026-05-05 12:42:09.157008,2026-05-05 12:42:24.962683,0 days 00:00:15.805675,64,0.022952674147112606,,,0.0035388049389528157,1,64,,,COMPLETE
42,31.356885237995375,2026-05-05 12:42:24.962683,2026-05-05 12:42:36.576886,0 days 00:00:11.614203,64,0.0009437618637215418,,,0.0021006370660979663,1,32,,,COMPLETE
43,30.98878020818217,2026-05-05 12:42:36.577886,2026-05-05 12:42:49.431774,0 days 00:00:12.853888,64,0.03848422353924483,,,0.0014672880775842617,1,128,,,COMPLETE
44,31.521472005311914,2026-05-05 12:42:49.431774,2026-05-05 12:43:01.916239,0 days 00:00:12.484465,64,0.06518328942600175,,,0.001287725916875281,1,128,,,COMPLETE
45,31.120353812148842,2026-05-05 12:43:01.917232,2026-05-05 12:43:15.553738,0 days 00:00:13.636506,64,0.1018608370212518,,,0.0046365013244409545,1,96,,,COMPLETE
46,33.15172045330324,2026-05-05 12:43:15.553738,2026-05-05 12:43:26.087700,0 days 00:00:10.533962,64,0.0379804680513815,,,0.1632457201571849,1,160,,,COMPLETE
47,31.485592879996585,2026-05-05 12:43:26.088699,2026-05-05 12:43:39.210906,0 days 00:00:13.122207,64,0.020913026867502505,,,0.0017846509424015453,1,128,,,COMPLETE
48,31.275744537228952,2026-05-05 12:43:39.211919,2026-05-05 12:43:56.634362,0 days 00:00:17.422443,64,0.12199957432164263,0.3072123832276024,,0.0030757639062459928,2,96,64.0,,COMPLETE
49,32.2346026907045,2026-05-05 12:43:56.635351,2026-05-05 12:44:14.451083,0 days 00:00:17.815732,64,0.0816066329191319,,,0.0014033600498378016,1,32,,,COMPLETE
50,31.08820146784094,2026-05-05 12:44:14.452083,2026-05-05 12:44:26.369925,0 days 00:00:11.917842,64,0.05980338069121502,,,0.004221547499805391,1,96,,,COMPLETE
51,31.19653040424061,2026-05-05 12:44:26.369925,2026-05-05 12:44:38.636392,0 days 00:00:12.266467,64,0.051400402490508354,,,0.004065820898054841,1,96,,,COMPLETE
52,31.21725136366435,2026-05-05 12:44:38.636392,2026-05-05 12:44:50.511464,0 days 00:00:11.875072,64,0.020297741712026696,,,0.00598971337597774,1,128,,,COMPLETE
53,31.137839590512556,2026-05-05 12:44:50.512464,2026-05-05 12:45:05.398587,0 days 00:00:14.886123,64,0.06976764111592643,,,0.002789279445780034,1,96,,,COMPLETE
54,31.08447823848757,2026-05-05 12:45:05.398990,2026-05-05 12:45:26.701349,0 days 00:00:21.302359,32,0.09745338095653244,,,0.0011530270144991647,1,64,,,COMPLETE
55,31.08747845600908,2026-05-05 12:45:26.701349,2026-05-05 12:45:50.758921,0 days 00:00:24.057572,32,0.1642181579651915,,,0.0011409998488973985,1,64,,,COMPLETE
56,31.86365310686143,2026-05-05 12:45:50.758921,2026-05-05 12:46:13.243245,0 days 00:00:22.484324,32,0.0956667260253432,,,0.0016390672969623368,1,32,,,COMPLETE
57,31.0617122410374,2026-05-05 12:46:13.243245,2026-05-05 12:46:35.217743,0 days 00:00:21.974498,32,0.12474203252752054,,,0.001030759325196564,1,64,,,COMPLETE
58,31.961273681902952,2026-05-05 12:46:35.218554,2026-05-05 12:46:58.770228,0 days 00:00:23.551674,32,0.12402760956263713,1.8560825904373468e-05,0.18430468525303412,0.0019314512970166208,3,64,192.0,256.0,COMPLETE
59,35.53065922116508,2026-05-05 12:46:58.771200,2026-05-05 12:47:14.064939,0 days 00:00:15.293739,32,0.20675464925855602,0.42549431700274887,,0.04355402689175935,2,32,64.0,,COMPLETE
60,31.277199585316833,2026-05-05 12:47:14.065525,2026-05-05 12:47:41.514014,0 days 00:00:27.448489,16,0.01754399162005165,,,0.0029505996905070876,1,160,,,COMPLETE
61,31.16029463392983,2026-05-05 12:47:41.514014,2026-05-05 12:48:03.009295,0 days 00:00:21.495281,32,0.08297253949408409,,,0.001049543063019709,1,64,,,COMPLETE
62,30.990622708293593,2026-05-05 12:48:03.010296,2026-05-05 12:48:27.561124,0 days 00:00:24.550828,32,0.28465286293127784,,,0.0013238445287422867,1,64,,,COMPLETE
63,31.256701979262452,2026-05-05 12:48:27.562125,2026-05-05 12:48:49.848942,0 days 00:00:22.286817,32,0.2920957836862609,,,0.0014218082704628484,1,64,,,COMPLETE
64,31.785847403144288,2026-05-05 12:48:49.848942,2026-05-05 12:49:11.459356,0 days 00:00:21.610414,32,0.31998927044195813,,,0.0016591478917475973,1,32,,,COMPLETE
65,31.198548870272607,2026-05-05 12:49:11.459356,2026-05-05 12:49:27.423244,0 days 00:00:15.963888,32,0.33430595723778955,,,0.0022357924810777704,1,96,,,COMPLETE
66,31.547507809448632,2026-05-05 12:49:27.425209,2026-05-05 12:49:37.480400,0 days 00:00:10.055191,128,0.22695677341015552,,,0.0025408717721832163,1,64,,,COMPLETE
67,31.316945021927733,2026-05-05 12:49:37.481399,2026-05-05 12:50:02.198408,0 days 00:00:24.717009,32,0.28118108061772357,,,0.0013156749118222446,1,32,,,COMPLETE
68,31.682723054459398,2026-05-05 12:50:02.199409,2026-05-05 12:50:11.768051,0 days 00:00:09.568642,128,0.04244163331978911,,,0.009369295854671904,1,64,,,COMPLETE
69,30.829546306509332,2026-05-05 12:50:11.769138,2026-05-05 12:50:22.557404,0 days 00:00:10.788266,128,0.026762165930874465,,,0.0018453391702585927,1,128,,,COMPLETE
70,31.210242286536364,2026-05-05 12:50:22.559264,2026-05-05 12:50:32.671504,0 days 00:00:10.112240,128,0.2571843504178104,,,0.003607238107662796,1,160,,,COMPLETE
