number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_mlp_layers,params_units_0,params_units_1,params_units_2,state
31,31.215861238275046,2026-05-09 01:39:12.342175,2026-05-09 01:39:27.293902,0 days 00:00:14.951727,64,0.444892045511348,,,0.0033061493085236033,1,224,,,COMPLETE
32,31.025101663845867,2026-05-09 01:39:27.293902,2026-05-09 01:39:41.787918,0 days 00:00:14.494016,64,0.38965022183239284,,,0.0019505609791851761,1,224,,,COMPLETE
33,31.145148899700608,2026-05-09 01:39:41.787918,2026-05-09 01:39:57.386049,0 days 00:00:15.598131,64,0.3758452588947918,,,0.007208086184922288,1,224,,,COMPLETE
34,32.53192326948235,2026-05-09 01:39:57.386669,2026-05-09 01:40:11.069138,0 days 00:00:13.682469,64,0.31582841511038234,0.31756374722003256,,0.004356156505639637,2,192,128.0,,COMPLETE
35,31.312288435373866,2026-05-09 01:40:11.069138,2026-05-09 01:40:36.795322,0 days 00:00:25.726184,16,0.27381643134109745,,,0.0013926592553938153,1,160,,,COMPLETE
36,30.718097147276218,2026-05-09 01:40:36.795322,2026-05-09 01:40:49.613948,0 days 00:00:12.818626,64,0.39424076623515597,,,0.002220421352403254,1,224,,,COMPLETE
37,31.71834236297538,2026-05-09 01:40:49.613948,2026-05-09 01:40:59.855828,0 days 00:00:10.241880,128,0.44395727187822087,,,0.00782290277778617,1,224,,,COMPLETE
38,32.33322665061323,2026-05-09 01:40:59.855828,2026-05-09 01:41:20.887040,0 days 00:00:21.031212,32,0.39134475190876766,0.4250629250346444,,0.0029298412885417667,2,224,64.0,,COMPLETE
39,30.75106252512834,2026-05-09 01:41:20.887040,2026-05-09 01:41:38.450135,0 days 00:00:17.563095,64,0.1638539099418143,,,0.002145084392073955,1,192,,,COMPLETE
40,31.697076352184858,2026-05-09 01:41:38.450896,2026-05-09 01:41:51.971689,0 days 00:00:13.520793,64,0.13696879850243635,0.20441011498061407,,0.0038723796308378746,2,128,160.0,,COMPLETE
41,31.065352052807754,2026-05-09 01:41:51.972695,2026-05-09 01:42:04.081791,0 days 00:00:12.109096,64,0.049200816239111156,,,0.0020793855542618725,1,192,,,COMPLETE
42,31.526858309742504,2026-05-09 01:42:04.081791,2026-05-09 01:42:16.763394,0 days 00:00:12.681603,64,0.11149291364514191,,,0.0012796654145518223,1,224,,,COMPLETE
43,31.027301197806747,2026-05-09 01:42:16.764296,2026-05-09 01:42:29.411471,0 days 00:00:12.647175,64,0.42835198264337504,,,0.002394252095798793,1,160,,,COMPLETE
44,31.42780050703026,2026-05-09 01:42:29.411471,2026-05-09 01:42:42.620916,0 days 00:00:13.209445,64,0.1770383687586253,,,0.002131615078496266,1,160,,,COMPLETE
45,31.03368288914198,2026-05-09 01:42:42.620916,2026-05-09 01:42:56.609474,0 days 00:00:13.988558,64,0.4663011118272963,,,0.0029367660677269737,1,160,,,COMPLETE
46,31.604511261001324,2026-05-09 01:42:56.609474,2026-05-09 01:43:09.538648,0 days 00:00:12.929174,64,0.43386407900460333,,,0.004715574794931337,1,64,,,COMPLETE
47,67.1244845739038,2026-05-09 01:43:09.539421,2026-05-09 01:43:45.429338,0 days 00:00:35.889917,16,0.4696761233475282,0.4185760031709758,,0.04793503765732117,2,128,224.0,,COMPLETE
48,33.14306678066287,2026-05-09 01:43:45.429338,2026-05-09 01:44:09.885933,0 days 00:00:24.456595,64,0.4970444750162587,0.16270733538870263,,0.001006885822115297,2,192,64.0,,COMPLETE
49,31.002091943378474,2026-05-09 01:44:09.886222,2026-05-09 01:44:29.462872,0 days 00:00:19.576650,32,0.3772586359623324,,,0.0027145651442010313,1,192,,,COMPLETE
50,31.032853721730884,2026-05-09 01:44:29.463579,2026-05-09 01:44:54.972141,0 days 00:00:25.508562,32,0.38890921718068683,,,0.0012938819901574718,1,192,,,COMPLETE
51,30.927780717098795,2026-05-09 01:44:54.973124,2026-05-09 01:45:14.685574,0 days 00:00:19.712450,32,0.4136389830663333,,,0.002734011078230955,1,192,,,COMPLETE
52,31.268246238389416,2026-05-09 01:45:14.685574,2026-05-09 01:45:33.697790,0 days 00:00:19.012216,32,0.33270341850517626,,,0.0028724267551188407,1,192,,,COMPLETE
53,31.37154166687784,2026-05-09 01:45:33.697790,2026-05-09 01:45:50.719177,0 days 00:00:17.021387,32,0.3785903155265852,,,0.002003697709165782,1,224,,,COMPLETE
54,31.324995801481812,2026-05-09 01:45:50.732755,2026-05-09 01:46:11.373634,0 days 00:00:20.640879,32,0.39811870978805686,,,0.0036742662700403944,1,192,,,COMPLETE
55,31.12097387852996,2026-05-09 01:46:11.374293,2026-05-09 01:46:27.169675,0 days 00:00:15.795382,32,0.4175662102087453,,,0.002489351879923869,1,192,,,COMPLETE
56,30.780476269319564,2026-05-09 01:46:27.170118,2026-05-09 01:46:45.332646,0 days 00:00:18.162528,32,0.36207122659666846,,,0.0016365758427341701,1,224,,,COMPLETE
57,31.10220925886579,2026-05-09 01:46:45.333635,2026-05-09 01:47:04.253989,0 days 00:00:18.920354,32,0.3516153645416524,,,0.0016417676750101963,1,224,,,COMPLETE
58,31.366837764579355,2026-05-09 01:47:04.253989,2026-05-09 01:47:23.562021,0 days 00:00:19.308032,32,0.33126644100747815,,,0.005180307036682242,1,256,,,COMPLETE
59,31.511600775067826,2026-05-09 01:47:23.562021,2026-05-09 01:47:41.560124,0 days 00:00:17.998103,32,0.3150068908088255,,,0.003464182563636066,1,192,,,COMPLETE
60,31.18609930411161,2026-05-09 01:47:41.560839,2026-05-09 01:48:00.560708,0 days 00:00:18.999869,32,0.3628218247241009,,,0.001115910961527878,1,224,,,COMPLETE
61,31.111984724942708,2026-05-09 01:48:00.560708,2026-05-09 01:48:20.148900,0 days 00:00:19.588192,32,0.41560859202581935,,,0.0015627282301576347,1,224,,,COMPLETE
62,31.24328816767481,2026-05-09 01:48:20.148900,2026-05-09 01:48:37.260479,0 days 00:00:17.111579,32,0.3749066479545466,,,0.0018786703802101618,1,256,,,COMPLETE
63,31.171280226984738,2026-05-09 01:48:37.260479,2026-05-09 01:48:49.728456,0 days 00:00:12.467977,128,0.2607512759810542,,,0.002670660771719484,1,224,,,COMPLETE
64,31.270061513030004,2026-05-09 01:48:49.728456,2026-05-09 01:49:13.344696,0 days 00:00:23.616240,32,0.07067417600002197,,,0.002247384098181563,1,192,,,COMPLETE
65,31.004226849223347,2026-05-09 01:49:13.344696,2026-05-09 01:49:30.607123,0 days 00:00:17.262427,32,0.405386118531115,,,0.0014241863397760908,1,224,,,COMPLETE
66,30.944453806092326,2026-05-09 01:49:30.608181,2026-05-09 01:49:51.113241,0 days 00:00:20.505060,32,0.34145917225883254,,,0.0011663547674762595,1,192,,,COMPLETE
67,32.038063773485646,2026-05-09 01:49:51.113241,2026-05-09 01:50:09.686713,0 days 00:00:18.573472,32,0.23222305114610975,,,0.0131978773571252,1,160,,,COMPLETE
68,30.9188790681848,2026-05-09 01:50:09.687300,2026-05-09 01:50:33.052539,0 days 00:00:23.365239,32,0.3391525643146798,,,0.001194202998399727,1,192,,,COMPLETE
69,30.699392371714175,2026-05-09 01:50:33.053604,2026-05-09 01:50:51.086967,0 days 00:00:18.033363,32,0.34481977035279926,,,0.0010804696279983071,1,192,,,COMPLETE
70,31.255576145736843,2026-05-09 01:50:51.086967,2026-05-09 01:51:11.243883,0 days 00:00:20.156916,32,0.3492226626515567,,,0.0011529483694716178,1,160,,,COMPLETE
71,31.09268269309082,2026-05-09 01:51:11.245000,2026-05-09 01:51:32.328149,0 days 00:00:21.083149,32,0.3277137045055085,,,0.0012507560051981583,1,192,,,COMPLETE
72,31.218079526380553,2026-05-09 01:51:32.328149,2026-05-09 01:51:53.805953,0 days 00:00:21.477804,32,0.30504627138650997,,,0.0014726874908875588,1,192,,,COMPLETE
73,31.127796813362238,2026-05-09 01:51:53.805953,2026-05-09 01:52:27.336173,0 days 00:00:33.530220,16,0.27821287339453626,,,0.0011540096397878227,1,192,,,COMPLETE
74,31.51651120064752,2026-05-09 01:52:27.337067,2026-05-09 01:52:46.750622,0 days 00:00:19.413555,32,0.3504844139487412,,,0.0017733097707009478,1,192,,,COMPLETE
75,31.45756666857569,2026-05-09 01:52:46.750622,2026-05-09 01:53:05.716925,0 days 00:00:18.966303,32,0.29502037933463016,,,0.0015187356851205439,1,192,,,COMPLETE
76,31.482888439206157,2026-05-09 01:53:05.717932,2026-05-09 01:53:20.388935,0 days 00:00:14.671003,128,0.32216296116648174,,,0.001049055660187507,1,96,,,COMPLETE
77,35.00739617731441,2026-05-09 01:53:20.389481,2026-05-09 01:53:39.019599,0 days 00:00:18.630118,32,0.36257692012054255,,,0.02410105414681362,1,160,,,COMPLETE
78,31.121894732695296,2026-05-09 01:53:39.019599,2026-05-09 01:54:00.513196,0 days 00:00:21.493597,32,0.3442319311225423,,,0.0017404911187845116,1,192,,,COMPLETE
79,31.346758206283937,2026-05-09 01:54:00.513196,2026-05-09 01:54:29.201420,0 days 00:00:28.688224,16,0.15344551607838097,,,0.0012164253238689604,1,224,,,COMPLETE
80,32.26144749338237,2026-05-09 01:54:29.201420,2026-05-09 01:54:45.529420,0 days 00:00:16.328000,64,0.3104148057553159,0.3030757481716225,,0.0013960697752830682,2,160,224.0,,COMPLETE
81,31.039212132481357,2026-05-09 01:54:45.530066,2026-05-09 01:55:05.363063,0 days 00:00:19.832997,32,0.37076658317114775,,,0.0022058980481670823,1,192,,,COMPLETE
82,31.317168263176256,2026-05-09 01:55:05.363821,2026-05-09 01:55:21.991411,0 days 00:00:16.627590,32,0.4006106914616586,,,0.001780239703623899,1,192,,,COMPLETE
83,31.549676296268178,2026-05-09 01:55:22.007101,2026-05-09 01:55:35.852069,0 days 00:00:13.844968,32,0.37951548189604717,,,0.0026155670205480646,1,224,,,COMPLETE
84,31.143016329106047,2026-05-09 01:55:35.852069,2026-05-09 01:55:51.364495,0 days 00:00:15.512426,32,0.42809542647012505,,,0.0030502407214415507,1,192,,,COMPLETE
85,31.296212082569106,2026-05-09 01:55:51.365503,2026-05-09 01:56:11.846184,0 days 00:00:20.480681,32,0.3429886848501866,,,0.0013118685449410574,1,224,,,COMPLETE
86,30.920482853490984,2026-05-09 01:56:11.846184,2026-05-09 01:56:29.471748,0 days 00:00:17.625564,64,0.2663376845018638,,,0.002011723423794069,1,160,,,COMPLETE
87,31.856881976344447,2026-05-09 01:56:29.471748,2026-05-09 01:56:41.591747,0 days 00:00:12.119999,64,0.26380105981211893,,,0.0019468695151658357,1,128,,,COMPLETE
88,30.872500591264025,2026-05-09 01:56:41.592749,2026-05-09 01:57:01.245158,0 days 00:00:19.652409,64,0.2841466899039368,,,0.0010075656059922336,1,160,,,COMPLETE
89,31.594896297012163,2026-05-09 01:57:01.245158,2026-05-09 01:57:17.808292,0 days 00:00:16.563134,64,0.24029847452971687,,,0.001004732599508858,1,160,,,COMPLETE
90,31.43424148021675,2026-05-09 01:57:17.808292,2026-05-09 01:57:31.506485,0 days 00:00:13.698193,64,0.004006029821722379,,,0.0011342573111830017,1,160,,,COMPLETE
91,31.30954001985409,2026-05-09 01:57:31.506485,2026-05-09 01:57:44.331793,0 days 00:00:12.825308,64,0.2747911191541374,,,0.0016274825853934947,1,160,,,COMPLETE
92,31.173283764011764,2026-05-09 01:57:44.332449,2026-05-09 01:57:59.757093,0 days 00:00:15.424644,64,0.2883650658819872,,,0.0014423552380779876,1,160,,,COMPLETE
93,31.61118745850889,2026-05-09 01:57:59.772651,2026-05-09 01:58:13.462328,0 days 00:00:13.689677,64,0.24862546201195018,,,0.001225642163651676,1,128,,,COMPLETE
94,30.846420510250027,2026-05-09 01:58:13.463026,2026-05-09 01:58:29.061154,0 days 00:00:15.598128,64,0.35926562718317684,,,0.0015796867701258592,1,192,,,COMPLETE
95,31.72175385124632,2026-05-09 01:58:29.061154,2026-05-09 01:58:44.925172,0 days 00:00:15.864018,64,0.18737163866238452,0.08179038821843568,0.28875752121945036,0.002293765201773046,3,192,128.0,192.0,COMPLETE
96,31.118956463467033,2026-05-09 01:58:44.925172,2026-05-09 01:58:57.972008,0 days 00:00:13.046836,64,0.21633641212526464,,,0.0013413831856985416,1,192,,,COMPLETE
97,31.4003888749695,2026-05-09 01:58:57.972008,2026-05-09 01:59:10.875482,0 days 00:00:12.903474,64,0.36116386190613897,,,0.0015705551878479346,1,160,,,COMPLETE
98,32.14106428449772,2026-05-09 01:59:10.875482,2026-05-09 01:59:26.018222,0 days 00:00:15.142740,128,0.4566525219114631,,,0.0019595375655266124,1,32,,,COMPLETE
99,31.33858741660786,2026-05-09 01:59:26.018754,2026-05-09 01:59:43.268997,0 days 00:00:17.250243,64,0.31597075572311667,,,0.0011125645380321526,1,128,,,COMPLETE
100,31.45245398282152,2026-05-09 01:59:43.268997,2026-05-09 01:59:55.623316,0 days 00:00:12.354319,64,0.38995803736226825,,,0.004143050363211115,1,256,,,COMPLETE
101,31.082873896637658,2026-05-09 01:59:55.623316,2026-05-09 02:00:09.523912,0 days 00:00:13.900596,64,0.3250736983169459,,,0.0016366130907692724,1,192,,,COMPLETE
102,31.10761058172638,2026-05-09 02:00:09.525023,2026-05-09 02:00:23.698190,0 days 00:00:14.173167,64,0.2996709643698887,,,0.0010014583118866866,1,192,,,COMPLETE
103,31.455100062509967,2026-05-09 02:00:23.698801,2026-05-09 02:00:37.534012,0 days 00:00:13.835211,64,0.2809654889498092,,,0.002135110739683124,1,224,,,COMPLETE
104,31.20965717113644,2026-05-09 02:00:37.535027,2026-05-09 02:00:54.955609,0 days 00:00:17.420582,64,0.33881902091583604,,,0.0018349138958488722,1,160,,,COMPLETE
105,31.389492874569562,2026-05-09 02:00:54.955681,2026-05-09 02:01:13.950188,0 days 00:00:18.994507,64,0.1100241501617243,,,0.0012287996182728754,1,192,,,COMPLETE
106,31.574921558779145,2026-05-09 02:01:13.952984,2026-05-09 02:01:39.403705,0 days 00:00:25.450721,16,0.35692020496187055,,,0.0024095967713598657,1,192,,,COMPLETE
107,30.817599336529078,2026-05-09 02:01:39.403705,2026-05-09 02:01:57.377711,0 days 00:00:17.974006,64,0.3354137332174766,,,0.0014823326838926416,1,224,,,COMPLETE
108,31.27835049373404,2026-05-09 02:01:57.378771,2026-05-09 02:02:13.300279,0 days 00:00:15.921508,64,0.38547352082132424,,,0.0013911545572769547,1,224,,,COMPLETE
109,30.975485423518144,2026-05-09 02:02:13.301283,2026-05-09 02:02:29.917296,0 days 00:00:16.616013,32,0.33469696565637,,,0.0015009879084806723,1,224,,,COMPLETE
110,30.76137617590795,2026-05-09 02:02:29.917296,2026-05-09 02:02:46.628129,0 days 00:00:16.710833,64,0.2675946810238097,,,0.0010938231236562789,1,224,,,COMPLETE
111,30.94794237322074,2026-05-09 02:02:46.629048,2026-05-09 02:03:04.475913,0 days 00:00:17.846865,64,0.26376034289711,,,0.0010869607175908178,1,224,,,COMPLETE
