fold,type,rmse,mae
1,cv,29.296813185449455,17.71252818859396
2,cv,46.12905678580295,20.53809661668003
3,cv,22.9228944355691,13.755851437791177
4,cv,31.385746249433037,20.673837418216067
5,cv,31.613588586192016,20.5603552215378
test,test,29.24918306780766,18.090264874255528
