fold,type,rmse,mae,rmae
1,cv,30.301374634388637,19.32616282766977,1.1288261488637146
2,cv,40.85308214193164,18.5010563919388,1.0806323232939878
3,cv,24.908836243832525,16.109394605262352,0.9409372173325936
4,cv,31.22260803415195,20.52741641743892,1.1989904373279718
5,cv,31.85024262984582,20.335647273236443,1.1877893506740271
test,test,30.85131716110097,19.703468146152776,1.1508642592432454
