number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
28,35.46732871006179,2026-05-08 20:32:42.329187,2026-05-08 20:32:45.516156,0 days 00:00:03.186969,0.7295627223044023,66.65613556001898,0.011731375926167794,3,15,600,COMPLETE
29,35.31042340871055,2026-05-08 20:32:45.516156,2026-05-08 20:32:50.143198,0 days 00:00:04.627042,0.7753259382838477,71.87197723741961,0.03792544202656229,6,30,400,COMPLETE
30,35.84592481167423,2026-05-08 20:32:50.143198,2026-05-08 20:32:53.830732,0 days 00:00:03.687534,0.8302472204148473,57.543798715303694,0.020383275686688032,7,89,200,COMPLETE
31,35.35409259718539,2026-05-08 20:32:53.830732,2026-05-08 20:32:56.530514,0 days 00:00:02.699782,0.7863949938466636,72.08733431289373,0.037911658953993586,4,32,400,COMPLETE
32,35.562075783161895,2026-05-08 20:32:56.546141,2026-05-08 20:33:00.567873,0 days 00:00:04.021732,0.7896510132987283,81.0361173650344,0.06767759118771453,5,34,500,COMPLETE
33,35.334976528945525,2026-05-08 20:33:00.567873,2026-05-08 20:33:04.181828,0 days 00:00:03.613955,0.8692096851581308,94.65469870124961,0.040354978801801104,6,41,300,COMPLETE
34,35.40328391654989,2026-05-08 20:33:04.181828,2026-05-08 20:33:06.103415,0 days 00:00:01.921587,0.7642044949544835,66.04999170060823,0.030115852978669866,5,49,200,COMPLETE
35,35.666642491635095,2026-05-08 20:33:06.103415,2026-05-08 20:33:20.120701,0 days 00:00:14.017286,0.8381507224286274,48.41219792758701,0.017796481450011586,8,25,700,COMPLETE
36,36.54114559222427,2026-05-08 20:33:20.120701,2026-05-08 20:33:30.215033,0 days 00:00:10.094332,0.7954796800794477,56.38455735869321,0.05374689382251769,6,16,900,COMPLETE
37,35.558607431310406,2026-05-08 20:33:30.215033,2026-05-08 20:33:33.740941,0 days 00:00:03.525908,0.9916957372042625,40.31485549452425,0.10352842855846389,4,33,500,COMPLETE
38,35.37484729391129,2026-05-08 20:33:33.740941,2026-05-08 20:33:38.818865,0 days 00:00:05.077924,0.7533053370791154,73.8537668849923,0.03215589555444933,7,100,400,COMPLETE
39,37.130949177948665,2026-05-08 20:33:38.818865,2026-05-08 20:33:47.132420,0 days 00:00:08.313555,0.7186010937976276,98.77658528798102,0.010794376992891331,10,73,200,COMPLETE
40,39.2198476422695,2026-05-08 20:33:47.132420,2026-05-08 20:33:56.902619,0 days 00:00:09.770199,0.8530729201216555,59.64156851580054,0.2520066398250817,9,53,600,COMPLETE
41,35.246516499430605,2026-05-08 20:33:56.902619,2026-05-08 20:34:00.626170,0 days 00:00:03.723551,0.8836046768857159,91.47317858905215,0.04884686559069817,6,38,300,COMPLETE
42,35.606146185696176,2026-05-08 20:34:00.626170,2026-05-08 20:34:05.300123,0 days 00:00:04.673953,0.8974828441636709,85.44402315094268,0.06195868782448123,7,37,300,COMPLETE
43,36.25923415280581,2026-05-08 20:34:05.300123,2026-05-08 20:34:10.757357,0 days 00:00:05.457234,0.9455906745850216,80.55408808746063,0.08604360773633585,6,29,500,COMPLETE
44,36.769349047496874,2026-05-08 20:34:10.757357,2026-05-08 20:34:14.109933,0 days 00:00:03.352576,0.8877742630108277,97.42124362753249,0.16139004273344848,5,48,400,COMPLETE
45,35.29290346253488,2026-05-08 20:34:14.109933,2026-05-08 20:34:19.928815,0 days 00:00:05.818882,0.8161335116243777,68.87939456449782,0.022428040201177474,8,42,200,COMPLETE
46,36.25651613226816,2026-05-08 20:34:19.928815,2026-05-08 20:34:22.618256,0 days 00:00:02.689441,0.8150524844209334,27.98850430434379,0.021495903769470113,8,41,100,COMPLETE
47,35.70789817689425,2026-05-08 20:34:22.618256,2026-05-08 20:34:47.803077,0 days 00:00:25.184821,0.9320802526070605,62.735337448115835,0.01231306681292276,8,52,1500,COMPLETE
48,35.542086668360476,2026-05-08 20:34:47.818703,2026-05-08 20:34:56.610577,0 days 00:00:08.791874,0.8543818217794533,67.519588213567,0.016463310688590256,9,38,200,COMPLETE
49,36.23523029966268,2026-05-08 20:34:56.610577,2026-05-08 20:35:04.547073,0 days 00:00:07.936496,0.8838543821667527,78.32191246594232,0.008314833536857292,7,46,300,COMPLETE
50,36.21190151570441,2026-05-08 20:35:04.547073,2026-05-08 20:35:05.240452,0 days 00:00:00.693379,0.8279909003058787,83.21399271385343,0.051466597222558155,3,57,100,COMPLETE
51,35.544604251195494,2026-05-08 20:35:05.240452,2026-05-08 20:35:12.983822,0 days 00:00:07.743370,0.7762340687056825,70.87713747287093,0.034105571844763996,7,20,500,COMPLETE
52,35.19172849499514,2026-05-08 20:35:12.983822,2026-05-08 20:35:16.732994,0 days 00:00:03.749172,0.8051466725335088,73.96495163835927,0.02417533567542174,5,30,400,COMPLETE
53,35.28625609036813,2026-05-08 20:35:16.732994,2026-05-08 20:35:22.156489,0 days 00:00:05.423495,0.8479769373200887,90.57793890359328,0.020286791144432135,5,43,600,COMPLETE
54,35.22542488643229,2026-05-08 20:35:22.156489,2026-05-08 20:35:28.310913,0 days 00:00:06.154424,0.7432691979249715,101.60510811514698,0.013776137311158142,5,42,700,COMPLETE
55,35.27306166891665,2026-05-08 20:35:28.310913,2026-05-08 20:35:34.068974,0 days 00:00:05.758061,0.570771970751303,109.9686235442932,0.013242723527906923,5,36,700,COMPLETE
56,35.37099910568084,2026-05-08 20:35:34.068974,2026-05-08 20:35:42.326701,0 days 00:00:08.257727,0.5505830920786712,107.82205845470787,0.006698158875370838,5,24,900,COMPLETE
