number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
28,36.05819965128385,2026-05-08 15:14:21.234215,2026-05-08 15:14:24.029898,0 days 00:00:02.795683,0.9105975283428838,32.001808965242915,0.008838437852725235,5,33,900,COMPLETE
29,37.3971560066929,2026-05-08 15:14:24.029898,2026-05-08 15:14:25.034125,0 days 00:00:01.004227,0.7695412530714665,36.30044700158645,0.07780452434658226,3,7,500,COMPLETE
30,35.81090777976034,2026-05-08 15:14:25.034125,2026-05-08 15:14:39.116771,0 days 00:00:14.082646,0.8623356335272194,55.47867886688843,0.002830436013752811,9,24,1200,COMPLETE
31,35.97182228129441,2026-05-08 15:14:39.116771,2026-05-08 15:14:57.090576,0 days 00:00:17.973805,0.9666031978815613,54.94371701326927,0.0025392500130019522,9,22,1200,COMPLETE
32,36.44380845183699,2026-05-08 15:14:57.090576,2026-05-08 15:15:16.730511,0 days 00:00:19.639935,0.8668330835337688,55.98739276664112,0.0017670456694888152,9,17,1300,COMPLETE
33,35.890449870323536,2026-05-08 15:15:16.730511,2026-05-08 15:15:33.203968,0 days 00:00:16.473457,0.9365217686954496,67.34298498356318,0.0028445989052877387,9,21,1200,COMPLETE
34,35.94671472825341,2026-05-08 15:15:33.203968,2026-05-08 15:15:53.324582,0 days 00:00:20.120614,0.925606086587744,68.44342265674071,0.0027916447913519413,9,13,1300,COMPLETE
35,38.083931306261455,2026-05-08 15:15:53.324582,2026-05-08 15:16:22.997915,0 days 00:00:29.673333,0.8373199668513355,79.8580781903927,0.001089119048381156,9,12,1500,COMPLETE
36,36.289109285349376,2026-05-08 15:16:22.997915,2026-05-08 15:16:39.233409,0 days 00:00:16.235494,0.9312136476475544,65.54466257728865,0.0027159529754199026,8,7,1300,COMPLETE
37,36.6176726087662,2026-05-08 15:16:39.233409,2026-05-08 15:17:10.797795,0 days 00:00:31.564386,0.9071782502769695,68.93937916071249,0.0015333320278497482,10,16,1400,COMPLETE
38,36.603949182612595,2026-05-08 15:17:10.797795,2026-05-08 15:17:34.272971,0 days 00:00:23.475176,0.8709600925369185,60.94676147183668,0.00248077781992396,9,5,1100,COMPLETE
39,35.80544863359858,2026-05-08 15:17:34.272971,2026-05-08 15:17:45.672158,0 days 00:00:11.399187,0.7016595319278212,88.21081396747307,0.0032536493881909203,8,22,1300,COMPLETE
40,35.834801980858266,2026-05-08 15:17:45.687781,2026-05-08 15:17:54.144859,0 days 00:00:08.457078,0.6763507602302081,85.7690694733612,0.0031889437295612244,7,23,1300,COMPLETE
41,35.770952433622355,2026-05-08 15:17:54.144859,2026-05-08 15:18:02.272740,0 days 00:00:08.127881,0.6916644141566588,84.18209120340312,0.003489410922208012,7,24,1300,COMPLETE
42,35.829055168910244,2026-05-08 15:18:02.277869,2026-05-08 15:18:10.483608,0 days 00:00:08.205739,0.6944153218739622,98.12162181718959,0.004481746719954215,7,22,1400,COMPLETE
43,35.726335887247515,2026-05-08 15:18:10.483608,2026-05-08 15:18:18.031846,0 days 00:00:07.548238,0.6997811012204382,101.19698405388077,0.004288505718274351,7,39,1400,COMPLETE
44,35.82534719323769,2026-05-08 15:18:18.031846,2026-05-08 15:18:25.158543,0 days 00:00:07.126697,0.6174126543751974,104.35834927832468,0.004367646889929339,7,44,1400,COMPLETE
45,35.80151005441287,2026-05-08 15:18:25.158543,2026-05-08 15:18:34.718864,0 days 00:00:09.560321,0.6275488006501511,101.69664959168988,0.005209247621916448,8,41,1500,COMPLETE
46,35.784585289619315,2026-05-08 15:18:34.718864,2026-05-08 15:18:42.824646,0 days 00:00:08.105782,0.630253115824972,91.4515464430368,0.007234805737185074,8,38,1500,COMPLETE
47,35.84195998449309,2026-05-08 15:18:42.824646,2026-05-08 15:18:50.398882,0 days 00:00:07.574236,0.6205821862140907,91.81565908338611,0.0069544596207401915,8,55,1500,COMPLETE
48,35.76207288416459,2026-05-08 15:18:50.398882,2026-05-08 15:18:56.348388,0 days 00:00:05.949506,0.7275065374515175,82.51960733017178,0.005193407823556806,6,39,1500,COMPLETE
49,35.76547819945315,2026-05-08 15:18:56.348388,2026-05-08 15:19:02.141124,0 days 00:00:05.792736,0.7363902038176123,80.74662587744919,0.005683381004909972,6,50,1500,COMPLETE
50,35.848448268348214,2026-05-08 15:19:02.141124,2026-05-08 15:19:07.651671,0 days 00:00:05.510547,0.7323422897201335,80.79121794774227,0.007267202921568607,6,50,1500,COMPLETE
51,35.71335153058948,2026-05-08 15:19:07.651671,2026-05-08 15:19:13.062972,0 days 00:00:05.411301,0.6393798131181965,96.93165668562712,0.006362223086443156,6,39,1500,COMPLETE
52,35.65935340534354,2026-05-08 15:19:13.062972,2026-05-08 15:19:18.874032,0 days 00:00:05.811060,0.724748786246643,95.65480892519295,0.005427960545365461,6,36,1400,COMPLETE
53,35.64172191020417,2026-05-08 15:19:18.874032,2026-05-08 15:19:24.610601,0 days 00:00:05.736569,0.7256354980899072,81.06633240791164,0.005392569644833548,6,34,1400,COMPLETE
54,35.78069959248492,2026-05-08 15:19:24.610601,2026-05-08 15:19:30.467993,0 days 00:00:05.857392,0.7247415128853228,98.36745240420491,0.00534305423370041,6,34,1400,COMPLETE
55,36.223836272558756,2026-05-08 15:19:30.467993,2026-05-08 15:19:35.254532,0 days 00:00:04.786539,0.751680363822407,78.01346621832077,0.013071465673872568,6,52,1400,COMPLETE
56,35.783981302823115,2026-05-08 15:19:35.254532,2026-05-08 15:19:41.014019,0 days 00:00:05.759487,0.7916239419555304,107.01157593452838,0.005202385575436506,6,49,1400,COMPLETE
57,35.96671539493294,2026-05-08 15:19:41.014019,2026-05-08 15:19:46.219307,0 days 00:00:05.205288,0.6489633321117808,96.65462233368591,0.007691759582430476,6,41,1500,COMPLETE
58,36.87094102863228,2026-05-08 15:19:46.219817,2026-05-08 15:19:50.904547,0 days 00:00:04.684730,0.5747220714910617,77.35521105029387,0.002136726037157301,5,61,1400,COMPLETE
59,35.67303462369222,2026-05-08 15:19:50.904547,2026-05-08 15:19:54.539986,0 days 00:00:03.635439,0.7512760152175332,89.68793935595451,0.006003249602523913,5,37,1100,COMPLETE
60,36.369752357053926,2026-05-08 15:19:54.539986,2026-05-08 15:19:57.693971,0 days 00:00:03.153985,0.7597891923237764,94.40528846715503,0.018891044407373242,5,37,1100,COMPLETE
61,35.702606265762405,2026-05-08 15:19:57.709595,2026-05-08 15:20:04.124597,0 days 00:00:06.415002,0.7228009801120715,83.58285543172474,0.004133449339302933,6,32,1500,COMPLETE
62,35.795443442266375,2026-05-08 15:20:04.124597,2026-05-08 15:20:08.852627,0 days 00:00:04.728030,0.7178784822530461,87.93984886073157,0.004109331735598926,5,32,1400,COMPLETE
63,35.85350596294445,2026-05-08 15:20:08.852627,2026-05-08 15:20:14.396626,0 days 00:00:05.543999,0.6746951369483427,101.56835073790153,0.0060602266572968065,6,35,1500,COMPLETE
64,35.93398259306149,2026-05-08 15:20:14.396626,2026-05-08 15:20:20.039635,0 days 00:00:05.643009,0.7082855341859962,84.60139432176568,0.008522853984752768,7,41,1200,COMPLETE
65,35.715519611730045,2026-05-08 15:20:20.039635,2026-05-08 15:20:25.103049,0 days 00:00:05.063414,0.7431692912789671,91.27865999894796,0.004601295131160396,6,30,1100,COMPLETE
