fold,type,rmse,mae,rmae
1,cv,30.25018186759704,17.506661547602246,0.48500257805617325
2,cv,58.65489212426179,19.10372822897809,0.5292475333658273
3,cv,22.34888134219196,12.163576726233602,0.3369783584703708
4,cv,32.43638478870171,20.213870404011814,0.5600027870409056
5,cv,32.53352851396994,19.48997055345644,0.5399479471835644
test,test,28.983963685963342,16.36385325736796,0.45334234600790424
