fold,type,rmse,mae,rmae
1,cv,26.85603067110779,14.295104333437806,0.8349659327725565
2,cv,47.739980397440576,16.53913824688599,0.9660382094073443
3,cv,14.229659172941588,8.975776494825812,0.5242681283430612
4,cv,22.042491332048005,14.792275514593726,0.8640053150210983
5,cv,22.847500049397947,15.052536721340498,0.8792069698105299
test,test,18.43332250819933,10.970944175479937,0.6408043217598742
